	source	target	weight	p_value
0	Androgen	TMPRSS2	11.490631	0.0
1	Androgen	NKX3-1	10.622551	2.2e-44
2	Androgen	MBOAT2	10.472733	4.6e-44
3	Androgen	KLK2	10.176186	1.94441e-40
4	Androgen	SARG	11.386852	2.79021e-40
5	Androgen	SLC38A4	7.363805	1.253072e-39
6	Androgen	MTMR9	6.1306458	2.534403e-38
7	Androgen	ZBTB16	10.614437	1.5671525e-36
8	Androgen	KCNN2	9.473199	7.711872e-36
9	Androgen	OPRK1	-5.6260734	1.11424474e-35
10	Androgen	ADAM7	3.1117454	3.1144558e-32
11	Androgen	ABCC4	9.374285	2.0095212e-31
12	Androgen	MYBPC1	4.6085787	6.807278e-31
13	Androgen	EAF2	6.944907	7.8419645e-31
14	Androgen	KLK3	14.606841	9.196045e-31
15	Androgen	OTULINL	7.7082176	3.9372027e-30
16	Androgen	PEX10	5.74946	1.4105707e-29
17	Androgen	SI	-5.795003	3.986077e-29
18	Androgen	SNAI2	19.821508	8.1523886e-29
19	Androgen	CAMKK2	3.739544	2.59013e-28
20	Androgen	BMPR1B	4.6340847	6.182863e-28
21	Androgen	F5	6.087826	1.2047765e-27
22	Androgen	LIFR	8.6125145	1.1334487e-26
23	Androgen	MAK	5.313673	4.1768647e-26
24	Androgen	GNMT	5.6726384	9.326385e-25
25	Androgen	MPC2	5.8883133	1.2205344e-24
26	Androgen	CTNNA2	3.8691266	1.5381996e-24
27	Androgen	CLDN8	7.8261633	3.2981616e-24
28	Androgen	LRRFIP2	4.144187	1.8121048e-23
29	Androgen	LRRC31	-5.1810226	2.4785945e-23
30	Androgen	LPAR3	5.8482785	6.07584e-23
31	Androgen	SLC15A2	5.1399264	6.749757e-23
32	Androgen	ELL2	6.5675774	1.363369e-22
33	Androgen	IGF1R	5.011522	1.4527064e-21
34	Androgen	DNM1L	4.1886797	2.1356182e-21
35	Androgen	LRIG1	6.626072	3.9930896e-21
36	Androgen	SLITRK3	-3.3206437	1.5034623e-20
37	Androgen	KCNMA1	3.54242	2.3839983e-20
38	Androgen	NPPC	4.046116	7.793352e-20
39	Androgen	ELK4	2.733172	6.213062e-19
40	Androgen	MRPS18A	3.9249358	9.547068e-19
41	Androgen	CBLL1	5.3254375	1.0845261e-18
42	Androgen	AFF3	2.4800925	1.6895339e-18
