Target_genes	Patz1|Average	SRX20088451|ES_cells	SRX20088452|ES_cells	SRX20088453|ES_cells	SRX20088454|ES_cells	STRING
Tex261	133.000000	186	346	0	0	0
Cplx2	133.000000	280	252	0	0	0
Acvr1	133.000000	215	317	0	0	0
Trim28	132.750000	248	283	0	0	0
Prr12	132.750000	312	219	0	0	0
Mnt	132.750000	194	337	0	0	0
Epb41l4b	132.750000	223	308	0	0	0
Rpl12	132.500000	277	253	0	0	0
Phka1	132.500000	243	287	0	0	0
Oplah	132.500000	252	278	0	0	0
Ncoa2	132.500000	318	212	0	0	0
Lrsam1	132.500000	277	253	0	0	0
Gadd45gip1	132.500000	282	248	0	0	0
Brsk1	132.500000	338	192	0	0	0
Angel1	132.500000	187	343	0	0	0
Nup62	132.250000	215	314	0	0	0
Il4i1b	132.250000	215	314	0	0	0
Camkk2	132.250000	282	247	0	0	0
Atf5	132.250000	215	314	0	0	0
Wdr6	132.000000	297	231	0	0	0
Rabac1	132.000000	298	230	0	0	0
Intu	132.000000	301	227	0	0	0
Zfp341	131.750000	199	328	0	0	0
Tef	131.750000	271	256	0	0	0
Gatad2a	131.250000	197	328	0	0	0
Fgfr2	131.250000	258	267	0	0	0
Adgrl1	131.250000	272	253	0	0	0
Scn1b	131.000000	321	203	0	0	0
Foxp4	131.000000	294	230	0	0	0
Dennd2c	131.000000	153	371	0	0	0
Tulp4	130.750000	248	275	0	0	0
Dhx35	130.750000	261	262	0	0	0
Cox20	130.750000	214	309	0	0	0
Wwox	130.500000	180	138	0	204	0
Meox1	130.500000	265	257	0	0	0
Lrp2	130.500000	190	332	0	0	0
Eno1	130.500000	244	278	0	0	0
BC028528	130.500000	182	340	0	0	0
Aph1a	130.500000	182	340	0	0	0
Zc3h6	130.250000	248	273	0	0	0
Rhbdl3	130.250000	274	247	0	0	0
Spag8	130.000000	207	313	0	0	0
Hint2	130.000000	207	313	0	0	0
Onecut2	129.750000	244	275	0	0	0
Adam23	129.750000	386	133	0	0	0
Senp6	129.500000	273	245	0	0	0
Golga1	129.500000	199	319	0	0	0
Ehd2	129.500000	242	276	0	0	0
Arf3	129.250000	253	264	0	0	0
Wtip	129.000000	241	275	0	0	0
Sptlc1	129.000000	210	306	0	0	0
Itgb1	129.000000	165	351	0	0	0
Ece1	129.000000	243	273	0	0	0
Tacc1	128.750000	216	299	0	0	0
Slc4a4	128.750000	259	256	0	0	0
Pcgf1	128.750000	256	259	0	0	0
Proser1	128.500000	217	297	0	0	0
Pdgfa	128.500000	262	252	0	0	0
Nhlrc3	128.500000	217	297	0	0	0
Dpp8	128.500000	198	316	0	0	0
Txnl4b	128.250000	201	312	0	0	0
Sumo3	128.250000	317	196	0	0	0
Dhx38	128.250000	201	312	0	0	0
Kat7	128.000000	290	222	0	0	0
Evx1	128.000000	290	222	0	0	0
Dnmt3l	128.000000	293	219	0	0	0
Aire	128.000000	293	219	0	0	0
Vpreb1	127.500000	133	377	0	0	0
Top3b	127.500000	133	377	0	0	0
Memo1	127.500000	230	280	0	0	0
Jag2	127.500000	270	240	0	0	0
Igll1	127.500000	133	377	0	0	0
Ago1	127.500000	210	300	0	0	0
Atoh1	127.250000	242	267	0	0	0
Aff4	127.250000	220	289	0	0	0
Rhobtb2	127.000000	258	250	0	0	0
Dcaf10	127.000000	196	312	0	0	0
Tubgcp3	126.750000	259	248	0	0	0
Ltbr	126.750000	325	182	0	0	0
Kmt2e	126.250000	300	205	0	0	0
Wwc2	126.000000	264	240	0	0	0
Neto2	126.000000	197	307	0	0	0
Fam149b	126.000000	219	285	0	0	0
Ecd	126.000000	219	285	0	0	0
Zfp639	125.750000	148	355	0	0	0
Hectd2	125.750000	145	358	0	0	0
Ckb	125.750000	318	185	0	0	0
Usp2	125.500000	158	344	0	0	0
D3Ertd751e	125.500000	297	205	0	0	0
Camk1d	125.500000	227	275	0	0	0
Zmym5	125.250000	207	294	0	0	0
Wfdc11	125.250000	0	501	0	0	0
Runx1t1	125.250000	306	195	0	0	0
Pax7	125.250000	310	191	0	0	0
Frmd6	125.250000	296	205	0	0	0
Nppc	125.000000	277	223	0	0	0
Frmd4b	125.000000	190	310	0	0	0
Cables2	125.000000	168	332	0	0	0
Dock7	124.750000	224	275	0	0	0
Zeb2	124.500000	261	237	0	0	0
Wipf2	124.500000	235	263	0	0	0
Tnnc1	124.500000	198	300	0	0	0
Sspn	124.500000	302	0	88	108	0
Slc25a53	124.500000	302	196	0	0	0
Puf60	124.500000	238	260	0	0	0
Nisch	124.500000	198	300	0	0	0
Hipk2	124.500000	212	286	0	0	0
Gm2237	124.500000	242	256	0	0	0
Vdac3	124.250000	167	330	0	0	0
Mitf	124.250000	242	255	0	0	0
Lrrc42	124.250000	374	123	0	0	0
Hspb11	124.250000	374	123	0	0	0
Tex264	124.000000	277	219	0	0	0
Spin1	123.750000	199	296	0	0	0
Rgs12	123.750000	243	252	0	0	0
Msrb2	123.750000	303	192	0	0	0
Hoxd8	123.750000	243	252	0	0	0
Dnaja1	123.750000	204	209	82	0	0
Oxr1	123.500000	202	292	0	0	0
Map10	123.500000	320	174	0	0	0
Eif4h	123.500000	246	248	0	0	0
Rbm24	123.250000	169	324	0	0	0
Eri3	123.250000	249	244	0	0	0
Zfp354a	123.000000	305	187	0	0	0
Rgs22	123.000000	237	255	0	0	0
Fnbp1l	123.000000	262	230	0	0	0
Ppp2r5a	122.750000	190	301	0	0	0
Ube2l3	122.500000	264	226	0	0	0
Rimbp3	122.500000	264	226	0	0	0
Asic4	122.500000	274	216	0	0	0
Zdhhc17	122.250000	205	284	0	0	0
Ube2z	122.000000	288	200	0	0	0
Pou4f2	122.000000	262	226	0	0	0
Lrrc58	122.000000	215	273	0	0	0
Cdk5r2	122.000000	286	202	0	0	0
Zbtb34	121.750000	267	220	0	0	0
Oga	121.500000	175	311	0	0	0
Xrn2	121.250000	113	372	0	0	0
Ube2e1	121.250000	300	185	0	0	0
Mpp5	121.250000	211	274	0	0	0
Leng8	121.250000	159	326	0	0	0
Btaf1	121.250000	228	257	0	0	0
Zfp618	121.000000	270	214	0	0	0
Zfp335	121.000000	163	321	0	0	0
Chmp4b	121.000000	201	283	0	0	0
Etl4	120.750000	253	230	0	0	0
Elf2	120.750000	241	242	0	0	0
Stau1	120.500000	247	235	0	0	0
Slc27a3	120.500000	274	208	0	0	0
Pdpn	120.500000	264	218	0	0	0
Nsd3	120.500000	179	303	0	0	0
Letm2	120.500000	179	303	0	0	0
Tet1	120.250000	263	218	0	0	0
Igf2bp3	120.250000	229	252	0	0	0
Cfp	120.250000	294	187	0	0	0
Phldb2	120.000000	253	227	0	0	0
Mgat1	120.000000	260	220	0	0	0
Klhl23	120.000000	182	298	0	0	0
Tmpo	119.750000	184	295	0	0	0
Smarcd3	119.750000	231	248	0	0	0
Repin1	119.750000	237	242	0	0	0
Gm5111	119.750000	237	242	0	0	0
Zfp131	119.250000	316	161	0	0	0
Tlx2	119.250000	309	168	0	0	0
Nvl	119.250000	183	294	0	0	0
Myt1	119.250000	270	207	0	0	0
Morf4l2	119.250000	219	258	0	0	0
Gnl3l	119.250000	278	199	0	0	0
Bnc2	119.250000	200	277	0	0	0
Sit1	119.000000	310	166	0	0	0
Ppp6r3	119.000000	185	291	0	0	0
Abhd17c	119.000000	193	283	0	0	0
Rps6kc1	118.750000	149	326	0	0	0
Ebf3	118.750000	291	184	0	0	0
Defb46	118.750000	289	186	0	0	0
Calm2	118.750000	288	187	0	0	0
Tab1	118.500000	159	315	0	0	0
Pik3r3	118.500000	226	248	0	0	0
Spaca6	118.000000	472	0	0	0	0
Cfdp1	118.000000	280	192	0	0	0
1700067K01Rik	118.000000	275	197	0	0	0
Zc3hav1l	117.750000	234	237	0	0	0
Slc41a1	117.750000	267	204	0	0	0
Slc15a1	117.750000	283	188	0	0	0
Met	117.750000	279	192	0	0	0
Sh2d6	117.500000	230	240	0	0	0
Hmgxb4	117.500000	200	270	0	0	0
Dixdc1	117.500000	249	221	0	0	0
Ankrd40	117.500000	244	226	0	0	0
Sirpa	117.250000	315	154	0	0	0
Dnah8	117.250000	247	222	0	0	0
2410002F23Rik	117.250000	150	319	0	0	0
Zfp398	117.000000	119	349	0	0	0
Wbp4	117.000000	298	170	0	0	0
Smad4	117.000000	213	255	0	0	0
Ero1b	117.000000	220	248	0	0	0
Elf1	117.000000	298	170	0	0	0
Dus3l	117.000000	189	279	0	0	0
Rbbp5	116.750000	360	107	0	0	0
Chgb	116.750000	230	237	0	0	0
Add1	116.500000	203	263	0	0	0
Neurog3	116.250000	137	328	0	0	0
Kifc2	116.250000	211	254	0	0	0
Cyhr1	116.250000	211	254	0	0	0
Pou2f1	116.000000	204	260	0	0	0
Nudt19	116.000000	241	223	0	0	0
Cdk6	116.000000	268	196	0	0	0
Zfp532	115.750000	260	203	0	0	0
Nr2f6	115.750000	162	301	0	0	0
Fam53c	115.750000	315	148	0	0	0
Dusp6	115.750000	180	283	0	0	0
Castor2	115.750000	220	243	0	0	0
Tmem234	115.500000	300	162	0	0	0
Rmnd1	115.500000	199	263	0	0	0
Pot1b	115.500000	297	165	0	0	0
Lin28a	115.500000	267	195	0	0	0
Eif3i	115.500000	300	162	0	0	0
Armt1	115.500000	199	263	0	0	0
Yod1	115.250000	166	295	0	0	0
Pfkfb2	115.250000	166	295	0	0	0
Srrm2	115.000000	213	247	0	0	0
Mest	115.000000	211	249	0	0	0
Hemk1	115.000000	168	292	0	0	0
Adcy2	115.000000	146	314	0	0	0
6430571L13Rik	115.000000	168	292	0	0	0
Npnt	114.750000	288	171	0	0	0
Lig4	114.750000	147	312	0	0	0
Impdh1	114.750000	99	360	0	0	0
Hscb	114.750000	310	149	0	0	0
Chek2	114.750000	310	149	0	0	0
Abhd13	114.750000	147	312	0	0	0
Zfand3	114.500000	170	288	0	0	0
Scrn1	114.500000	243	215	0	0	0
Mbtps1	114.500000	173	285	0	0	0
Gpr19	114.500000	187	271	0	0	0
Bcdin3d	114.500000	246	212	0	0	0
Morc1	114.250000	266	191	0	0	0
Ube4b	114.000000	281	175	0	0	0
Sparc	114.000000	240	216	0	0	0
Plcb3	114.000000	288	168	0	0	0
Asap1	114.000000	155	301	0	0	0
Arl8b	114.000000	248	208	0	0	0
Iqsec3	113.750000	143	312	0	0	0
Tln1	113.500000	185	269	0	0	0
Creb3	113.500000	185	269	0	0	0
Cks2	113.500000	161	293	0	0	0
Baiap2	113.500000	267	187	0	0	0
Hdgf	113.000000	223	229	0	0	0
Aqp3	113.000000	292	160	0	0	0
Vps29	112.750000	178	273	0	0	0
Trpm1	112.750000	184	267	0	0	0
Rad9b	112.750000	178	273	0	0	0
Nhs	112.750000	251	200	0	0	0
Arrdc3	112.750000	184	267	0	0	0
Vgll3	112.500000	260	190	0	0	0
Ptpn23	112.500000	215	235	0	0	0
Fndc3b	112.500000	227	223	0	0	0
Smox	112.250000	204	245	0	0	0
Scgb1c1	112.250000	223	226	0	0	0
Nup54	112.250000	291	158	0	0	0
Csnk2a2	112.250000	100	349	0	0	0
Phactr4	112.000000	251	197	0	0	0
Mrpl12	112.000000	239	209	0	0	0
Cdkn2aip	112.000000	133	315	0	0	0
Ank	112.000000	217	231	0	0	0
Zfp467	111.500000	226	220	0	0	0
Sspo	111.500000	226	220	0	0	0
Pwwp3b	111.500000	268	178	0	0	0
Lrp12	111.500000	163	283	0	0	0
Lig3	111.500000	169	277	0	0	0
Tcp11l2	111.250000	226	219	0	0	0
Slc15a4	111.250000	180	265	0	0	0
Grn	111.250000	281	164	0	0	0
Smap2	111.000000	178	266	0	0	0
Zfp518a	110.750000	132	311	0	0	0
Ttyh1	110.750000	194	249	0	0	0
Crebbp	110.750000	186	257	0	0	0
Zfp827	110.500000	303	139	0	0	0
Tmco3	110.500000	261	181	0	0	0
Ndrg4	110.500000	212	230	0	0	0
Erc1	110.500000	234	208	0	0	0
Dcun1d2	110.500000	261	181	0	0	0
Braf	110.500000	207	235	0	0	0
Armcx4	110.500000	223	219	0	0	0
Amfr	110.500000	196	246	0	0	0
Akap10	110.500000	180	262	0	0	0
Smug1	110.250000	173	268	0	0	0
Erbin	110.250000	175	266	0	0	0
Col9a2	110.250000	303	138	0	0	0
Arid4a	110.250000	163	278	0	0	0
Arhgap33	110.250000	282	159	0	0	0
Tmem51	110.000000	231	209	0	0	0
Plagl1	110.000000	302	138	0	0	0
Nfyc	110.000000	252	188	0	0	0
Magi1	110.000000	239	201	0	0	0
Kcnj11	110.000000	230	210	0	0	0
Insc	110.000000	258	182	0	0	0
Hnrnpa2b1	110.000000	214	226	0	0	0
Ggact	110.000000	161	279	0	0	0
Gabra5	110.000000	192	248	0	0	0
Fblim1	110.000000	225	215	0	0	0
Cbx3	110.000000	214	226	0	0	0
Utp18	109.750000	266	173	0	0	0
Tex10	109.750000	166	273	0	0	0
Mbtd1	109.750000	266	173	0	0	0
Kcnh6	109.750000	201	238	0	0	0
Cnih3	109.500000	218	220	0	0	0
Tns2	109.250000	176	261	0	0	0
Spry2	109.250000	252	185	0	0	0
Nkx2-2	109.250000	264	173	0	0	0
Gjc1	109.250000	185	252	0	0	0
Fbxo11	109.250000	252	185	0	0	0
Trak2	109.000000	202	234	0	0	0
Nrep	109.000000	219	217	0	0	0
Gprasp2	109.000000	259	177	0	0	0
Aldh1a2	109.000000	215	221	0	0	0
Zfp358	108.750000	285	150	0	0	0
Npm1	108.750000	253	182	0	0	0
Kdm4b	108.750000	167	268	0	0	0
Mbd6	108.500000	226	208	0	0	0
Ino80d	108.500000	212	222	0	0	0
Ddit3	108.500000	226	208	0	0	0
Thrb	108.250000	293	140	0	0	0
Rnps1	108.250000	144	289	0	0	0
Rfx1	108.250000	129	304	0	0	0
Osbpl1a	108.250000	288	145	0	0	0
Ctnna1	108.250000	153	280	0	0	0
Rae1	108.000000	157	275	0	0	0
Mbip	108.000000	160	272	0	0	0
Plekha5	107.750000	197	234	0	0	0
Adcy3	107.750000	218	213	0	0	0
Wsb2	107.500000	223	207	0	0	0
Sufu	107.500000	173	257	0	0	0
Pde8b	107.500000	198	232	0	0	0
Ggps1	107.500000	251	179	0	0	0
Arid4b	107.500000	251	179	0	0	0
Actr1a	107.500000	173	257	0	0	0
Rpia	107.250000	116	313	0	0	0
Msi2	107.250000	191	238	0	0	0
Lrmp	107.250000	279	150	0	0	0
Faah	107.250000	161	268	0	0	0
Uck2	107.000000	187	241	0	0	0
Nup43	107.000000	165	263	0	0	0
Ythdf2	106.750000	184	243	0	0	0
Ttc17	106.750000	211	216	0	0	0
Rsbn1	106.750000	215	212	0	0	0
Rpl27	106.750000	214	213	0	0	0
Rmi1	106.750000	178	249	0	0	0
Nhlrc2	106.750000	172	255	0	0	0
Hnrnpk	106.750000	178	249	0	0	0
Fbln5	106.750000	201	226	0	0	0
Dclre1a	106.750000	172	255	0	0	0
Tmem108	106.500000	228	198	0	0	0
Tent5c	106.500000	247	179	0	0	0
Polr2h	106.500000	236	190	0	0	0
Mgll	106.500000	195	231	0	0	0
Letmd1	106.500000	205	221	0	0	0
Flywch2	106.500000	169	257	0	0	0
Efhd2	106.500000	273	153	0	0	0
Cnot2	106.500000	184	242	0	0	0
Clcn2	106.500000	236	190	0	0	0
Anp32b	106.500000	171	255	0	0	0
Agpat5	106.500000	197	229	0	0	0
Ugp2	106.250000	254	171	0	0	0
Tmem266	106.250000	129	296	0	0	0
Irgm1	106.250000	258	167	0	0	0
Bcl2l1	106.250000	198	227	0	0	0
BC107364	106.250000	216	209	0	0	0
Septin8	106.000000	170	254	0	0	0
Prima1	106.000000	216	208	0	0	0
Fstl1	106.000000	267	157	0	0	0
Cep85	106.000000	234	190	0	0	0
Asxl1	106.000000	289	135	0	0	0
Zp3	105.750000	174	249	0	0	0
Yap1	105.750000	176	247	0	0	0
Ssc4d	105.750000	174	249	0	0	0
Scrt2	105.750000	196	227	0	0	0
Pde4a	105.750000	206	217	0	0	0
Parp11	105.750000	194	229	0	0	0
Lefty2	105.750000	184	239	0	0	0
Unc5a	105.500000	238	184	0	0	0
Ssbp4	105.500000	262	160	0	0	0
Dap3	105.500000	187	235	0	0	0
Cacna1h	105.500000	199	223	0	0	0
C77080	105.500000	270	152	0	0	0
Sfrp2	105.250000	216	205	0	0	0
Max	105.250000	149	272	0	0	0
Itpripl2	105.250000	204	217	0	0	0
Fxn	105.250000	187	234	0	0	0
Samd1	105.000000	275	145	0	0	0
Mllt3	105.000000	233	187	0	0	0
Uqcrc1	104.750000	217	202	0	0	0
Topbp1	104.750000	210	209	0	0	0
Zfp354b	104.500000	227	191	0	0	0
Xkr5	104.500000	194	224	0	0	0
Wipf1	104.500000	144	274	0	0	0
Mast1	104.500000	268	150	0	0	0
Zbtb8a	104.250000	0	417	0	0	0
Ppp2r2d	104.250000	169	248	0	0	0
Mapk1ip1	104.250000	169	248	0	0	0
Kif13b	104.250000	269	148	0	0	0
Epc2	104.250000	196	221	0	0	0
Dcp1a	104.250000	146	271	0	0	0
Celf1	104.250000	213	204	0	0	0
Cacna1c	104.250000	236	181	0	0	0
Atp8b2	104.250000	203	214	0	0	0
Atp7a	104.250000	118	299	0	0	0
Adgrg5	104.250000	200	217	0	0	0
Smad1	104.000000	219	197	0	0	0
Ripply1	104.000000	242	174	0	0	0
Rcn1	104.000000	159	257	0	0	0
Orc4	104.000000	267	149	0	0	0
Mbd5	104.000000	267	149	0	0	0
Kdm6b	104.000000	198	218	0	0	0
Islr	104.000000	0	0	416	0	0
Hebp1	104.000000	208	208	0	0	0
Nipbl	103.750000	231	184	0	0	0
Mllt10	103.750000	209	206	0	0	0
Large1	103.750000	174	241	0	0	0
Cebpzos	103.750000	257	158	0	0	0
Tesk2	103.500000	143	271	0	0	0
Tbl1x	103.500000	195	219	0	0	0
Piezo1	103.500000	176	238	0	0	0
Kit	103.500000	275	139	0	0	0
Crim1	103.500000	228	186	0	0	0
Zbtb37	103.250000	126	287	0	0	0
Rbck1	103.250000	225	188	0	0	0
Npepps	103.250000	189	224	0	0	0
Gtf2a1	103.250000	154	259	0	0	0
Ctcf	103.250000	217	196	0	0	0
Cmtr1	103.250000	223	190	0	0	0
Clasp2	103.250000	163	250	0	0	0
Cerk	103.250000	142	271	0	0	0
Tob2	103.000000	201	211	0	0	0
Rfx4	103.000000	296	116	0	0	0
Pitx3	103.000000	223	189	0	0	0
Gbf1	103.000000	223	189	0	0	0
Yy1	102.750000	115	296	0	0	0
Kdm2b	102.750000	200	211	0	0	0
Ankrd60	102.750000	173	238	0	0	0
Sptb	102.500000	208	202	0	0	0
Hif1a	102.500000	137	273	0	0	0
Zfp982	102.250000	169	240	0	0	0
S1pr1	102.250000	243	166	0	0	0
Rhbdf2	102.250000	226	183	0	0	0
Rps23	102.000000	257	151	0	0	0
Plxnb1	102.000000	292	116	0	0	0
Phf10	102.000000	175	233	0	0	0
Pcdh9	102.000000	260	148	0	0	0
Gm20939	102.000000	204	204	0	0	0
Brd7	102.000000	165	243	0	0	0
Tfam	101.750000	173	234	0	0	0
Rhof	101.750000	237	170	0	0	0
Ranbp3	101.750000	206	201	0	0	0
Pop4	101.750000	407	0	0	0	0
H3c11	101.750000	241	166	0	0	0
H1f5	101.750000	241	166	0	0	0
Fasn	101.750000	130	277	0	0	0
Cdh1	101.750000	201	206	0	0	0
Bzw1	101.750000	236	171	0	0	0
Atp13a3	101.750000	189	218	0	0	0
Mpp3	101.500000	138	268	0	0	0
U2af2	101.250000	214	191	0	0	0
Sipa1l1	101.250000	200	205	0	0	0
Azin2	101.250000	187	218	0	0	0
Ahcyl2	101.250000	190	215	0	0	0
Tex2	101.000000	115	289	0	0	0
Khsrp	101.000000	215	189	0	0	0
Armc5	101.000000	182	222	0	0	0
9130023H24Rik	101.000000	182	222	0	0	0
Snx9	100.750000	143	260	0	0	0
Nrf1	100.750000	178	225	0	0	0
H4c1	100.750000	178	225	0	0	0
H3c1	100.750000	178	225	0	0	0
H1f1	100.750000	178	225	0	0	0
Dnal4	100.750000	164	239	0	0	0
Seh1l	100.500000	160	242	0	0	0
Nodal	100.500000	219	183	0	0	0
Dhrs13	100.500000	170	232	0	0	0
Zfp266	100.250000	145	256	0	0	0
Tfap4	100.250000	189	212	0	0	0
Rasgef1a	100.000000	214	186	0	0	0
Ppp1r14a	100.000000	188	212	0	0	0
Mtbp	100.000000	173	227	0	0	0
Mrpl13	100.000000	173	227	0	0	0
Kxd1	100.000000	183	217	0	0	0
Fkbp8	100.000000	183	217	0	0	0
Pou6f1	99.750000	263	136	0	0	0
Hspb1	99.750000	175	224	0	0	0
Gipc3	99.750000	242	157	0	0	0
Ube2ql1	99.500000	134	264	0	0	0
Mrps21	99.500000	210	188	0	0	0
Gnas	99.500000	216	182	0	0	0
Srsf1	99.250000	223	174	0	0	0
Phlpp2	99.250000	179	218	0	0	0
Msantd3	99.250000	220	177	0	0	0
Fbxw5	99.250000	187	210	0	0	0
C8g	99.250000	187	210	0	0	0
Btbd8	99.250000	129	268	0	0	0
Sp8	99.000000	207	189	0	0	0
Kif7	99.000000	238	158	0	0	0
Usp32	98.750000	159	236	0	0	0
Tnfsfm13	98.750000	206	189	0	0	0
Tnfsf12	98.750000	206	189	0	0	0
Stxbp6	98.750000	146	249	0	0	0
Msi1	98.750000	203	192	0	0	0
Cplx3	98.750000	182	213	0	0	0
Cdk14	98.750000	207	188	0	0	0
Zfp217	98.500000	237	157	0	0	0
Sms	98.500000	213	181	0	0	0
Nkain4	98.500000	171	223	0	0	0
Cecr2	98.500000	183	211	0	0	0
Ap2a2	98.500000	111	283	0	0	0
Usp30	98.250000	164	229	0	0	0
Sdc3	98.250000	190	203	0	0	0
Rnf180	98.250000	220	173	0	0	0
Mob3b	98.250000	178	215	0	0	0
Mettl9	98.250000	163	230	0	0	0
Itpk1	98.250000	162	231	0	0	0
Dennd1a	98.250000	176	217	0	0	0
Rsad1	98.000000	198	194	0	0	0
Rab3b	98.000000	201	191	0	0	0
Fam117a	98.000000	0	392	0	0	0
Dnmt3a	98.000000	214	178	0	0	0
Sulf2	97.750000	229	162	0	0	0
Sh3rf1	97.750000	131	260	0	0	0
Mpc1	97.750000	275	116	0	0	0
Erf	97.750000	275	116	0	0	0
Eid1	97.750000	168	223	0	0	0
Dlat	97.750000	245	146	0	0	0
Acaa2	97.750000	196	195	0	0	0
Srd5a3	97.500000	147	243	0	0	0
Spink10	97.500000	105	285	0	0	0
Pou2f3	97.500000	177	213	0	0	0
Paqr8	97.500000	239	151	0	0	0
Nfib	97.500000	118	272	0	0	0
Kpnb1	97.500000	197	193	0	0	0
Fbxo38	97.500000	105	285	0	0	0
4930447C04Rik	97.500000	232	158	0	0	0
Tmem185b	97.250000	232	157	0	0	0
Naa60	97.250000	155	234	0	0	0
Dennd11	97.250000	240	149	0	0	0
Cdyl2	97.250000	194	195	0	0	0
Ubtd2	97.000000	184	204	0	0	0
U2af1l4	97.000000	211	177	0	0	0
T	97.000000	219	169	0	0	0
Psenen	97.000000	211	177	0	0	0
Ppic	97.000000	108	280	0	0	0
Mcf2l	97.000000	198	190	0	0	0
Lin37	97.000000	211	177	0	0	0
Ints13	97.000000	169	219	0	0	0
H4f16	97.000000	159	229	0	0	0
H2aj	97.000000	159	229	0	0	0
Fgfr1op2	97.000000	169	219	0	0	0
Nt5c2	96.750000	164	223	0	0	0
Golm2	96.750000	136	251	0	0	0
Tmem62	96.500000	200	186	0	0	0
Socs3	96.500000	149	237	0	0	0
Ptp4a2	96.500000	117	269	0	0	0
Mlf2	96.500000	199	187	0	0	0
Insr	96.500000	187	199	0	0	0
Cep68	96.500000	216	170	0	0	0
Casz1	96.500000	195	191	0	0	0
Larp4	96.250000	202	183	0	0	0
Gpc4	96.250000	212	173	0	0	0
Mmgt2	96.000000	189	195	0	0	0
Lrrc75a	96.000000	189	195	0	0	0
1700025G04Rik	95.750000	211	172	0	0	0
Vmn2r102	95.500000	155	139	0	88	0
Ptprf	95.500000	177	205	0	0	0
L3mbtl2	95.500000	238	144	0	0	0
Nova2	95.250000	195	186	0	0	0
Msx2	95.250000	208	173	0	0	0
Kif20b	95.250000	151	230	0	0	0
Calcr	95.250000	211	170	0	0	0
Rcn2	95.000000	128	252	0	0	0
Osbp2	95.000000	173	207	0	0	0
Ldb1	95.000000	231	149	0	0	0
Hk2	95.000000	167	213	0	0	0
Atp7b	95.000000	192	188	0	0	0
Alg11	95.000000	192	188	0	0	0
Zfp729a	94.750000	182	197	0	0	0
Vezf1	94.750000	208	171	0	0	0
Insm1	94.750000	222	157	0	0	0
Ifnar1	94.750000	204	175	0	0	0
Crip2	94.750000	190	189	0	0	0
Atg16l1	94.750000	163	216	0	0	0
1700019D03Rik	94.750000	259	120	0	0	0
Fads2	94.500000	217	161	0	0	193
Sdhaf2	94.500000	152	226	0	0	0
Lax1	94.500000	206	172	0	0	0
Igsf11	94.500000	148	230	0	0	0
Fos	94.500000	223	155	0	0	0
Ezh2	94.500000	141	237	0	0	0
Cpsf7	94.500000	152	226	0	0	0
Acot7	94.500000	236	142	0	0	0
Tfe3	94.250000	166	211	0	0	0
Slc2a3	94.250000	213	164	0	0	0
Prpf40b	94.250000	131	246	0	0	0
Nkain3	94.250000	230	147	0	0	0
Myef2	94.250000	230	147	0	0	0
Klf16	94.250000	174	203	0	0	0
Eif4a1	94.250000	236	141	0	0	0
Trrap	94.000000	141	235	0	0	0
Taok1	94.000000	193	183	0	0	0
Syce2	94.000000	121	255	0	0	0
Adipor2	94.000000	180	196	0	0	0
Ube2g1	93.750000	156	219	0	0	0
Ppp1r18	93.750000	138	237	0	0	0
Nrm	93.750000	138	237	0	0	0
Ndufb3	93.750000	173	202	0	0	0
Krba1	93.750000	133	242	0	0	0
Gapdh	93.750000	249	126	0	0	0
Fam126b	93.750000	173	202	0	0	0
Fa2h	93.750000	120	255	0	0	0
Zfp637	93.500000	198	176	0	0	0
Mecom	93.500000	115	259	0	0	0
Rhoq	93.250000	185	188	0	0	0
Rad23b	93.250000	177	196	0	0	0
Pou3f1	93.250000	149	224	0	0	0
Polr1d	93.250000	144	229	0	0	0
Lnx2	93.250000	144	229	0	0	0
Slc35g1	93.000000	167	205	0	0	0
Rcan1	93.000000	164	208	0	0	0
Prickle1	93.000000	131	241	0	0	0
Ndrg3	93.000000	183	189	0	0	0
Jarid2	93.000000	182	190	0	0	0
Aars2	93.000000	187	185	0	0	0
Srsf5	92.750000	108	263	0	0	0
Parp2	92.750000	199	172	0	0	0
Pak4	92.750000	111	260	0	0	0
Otud4	92.750000	231	140	0	0	0
Cxxc4	92.750000	222	149	0	0	0
Mok	92.500000	213	157	0	0	0
Ksr2	92.500000	188	182	0	0	0
Srrm1	92.250000	146	223	0	0	0
Rtn4	92.250000	127	242	0	0	0
Nr0b1	92.250000	211	158	0	0	0
Irf2bp1	92.250000	182	187	0	0	0
Huwe1	92.250000	245	124	0	0	0
Ccser2	92.250000	246	123	0	0	0
Btrc	92.250000	165	204	0	0	0
Wasl	92.000000	132	236	0	0	0
Tspan10	92.000000	189	179	0	0	0
Tmem170b	92.000000	172	196	0	0	0
Rnf5	92.000000	237	131	0	0	0
Phb	92.000000	144	224	0	0	0
Nploc4	92.000000	189	179	0	0	0
Gstp3	92.000000	136	232	0	0	0
Agpat1	92.000000	237	131	0	0	0
Unc80	91.750000	209	158	0	0	0
Mpp6	91.750000	162	205	0	0	0
Glp1r	91.750000	216	151	0	0	0
Mageb3	91.500000	189	177	0	0	0
Kcnma1	91.500000	176	190	0	0	0
Ctdspl2	91.500000	189	177	0	0	0
Ssbp3	91.250000	0	365	0	0	0
Pdp2	91.250000	161	204	0	0	0
Elp5	91.250000	217	148	0	0	0
Eif1	91.250000	127	238	0	0	0
Dennd6a	91.250000	203	162	0	0	0
Ctdnep1	91.250000	217	148	0	0	0
