Target_genes	Mybl1|Average	SRX10052064|Testis	SRX1764251|Testis	SRX1764252|Testis	SRX244353|Testis	STRING
Cdk1	367.250000	1326	0	0	143	0
Srsf7	367.000000	877	0	101	490	0
Usp39	366.750000	1217	0	0	250	0
0610030E20Rik	366.750000	1217	0	0	250	0
Scmh1	366.250000	0	129	180	1156	0
Cfap36	366.250000	1365	0	0	100	0
Dusp18	365.750000	1377	0	0	86	0
4921536K21Rik	365.750000	1377	0	0	86	0
Ddx49	365.500000	1462	0	0	0	0
Cope	365.500000	1462	0	0	0	0
Tbl1x	365.250000	1206	0	0	255	0
Ccdc89	365.250000	1144	0	138	179	0
Flywch1	365.000000	410	0	243	807	0
Armc5	365.000000	1165	0	0	295	0
Actg1	365.000000	1071	0	0	389	0
9130023H24Rik	365.000000	1165	0	0	295	0
Aatf	364.750000	1333	0	0	126	0
Osbp2	364.500000	1027	87	163	181	0
Tmem39b	363.250000	1274	0	0	179	0
Dynll1	363.250000	904	0	83	466	0
Tmem125	363.000000	197	601	456	198	0
Gpbp1	362.750000	783	0	133	535	0
Fnbp4	362.500000	1450	0	0	0	0
C330007P06Rik	362.500000	1336	0	0	114	0
Tdrd5	362.250000	794	0	184	471	0
Wrnip1	361.750000	1348	0	0	99	0
Amh	361.750000	1162	0	0	285	0
Wdr53	361.250000	1235	0	0	210	0
Phactr4	361.250000	1223	0	0	222	0
Fbxo45	361.250000	1235	0	0	210	0
Arhgap11a	361.250000	1333	0	0	112	0
Ubn1	360.250000	1325	0	0	116	0
Ptdss1	360.250000	1441	0	0	0	0
Mterf3	360.250000	1441	0	0	0	0
Glyr1	360.250000	1325	0	0	116	0
Hdgfl1	359.500000	1438	0	0	0	0
Strap	359.250000	1275	0	0	162	0
Adss	358.750000	762	0	0	673	0
Slc39a9	358.500000	1293	0	0	141	0
Rcor1	358.500000	1147	0	143	144	0
Erh	358.500000	1293	0	0	141	0
Tle6	358.250000	1250	0	0	183	0
Lrp12	358.000000	1086	0	0	346	0
Ing2	358.000000	1104	0	0	328	0
Cse1l	358.000000	1432	0	0	0	0
Ago2	357.750000	149	0	182	1100	0
Fer	357.500000	1304	0	0	126	0
Zfp207	357.250000	1110	0	198	121	0
Nup153	357.250000	1262	0	0	167	0
Morf4l2	357.000000	1309	0	0	119	0
Nelfa	356.250000	1223	0	0	202	0
Mta2	356.250000	1244	0	0	181	0
Acyp1	356.250000	1205	0	0	220	0
Gse1	355.750000	621	135	186	481	0
Otud6a	355.250000	1294	0	0	127	0
Ubtd1	354.500000	1002	0	0	416	0
Msrb3	354.500000	973	0	0	445	0
Mms19	354.500000	1002	0	0	416	0
Hsd17b12	354.500000	1418	0	0	0	0
Myo1c	354.250000	1300	0	0	117	0
Cycs	354.250000	1335	0	0	82	0
Slc47a2	354.000000	450	0	143	823	0
Arsa	354.000000	1057	0	219	140	0
Lcorl	353.750000	862	0	220	333	0
Erlin1	353.750000	289	0	255	871	0
Slc15a4	353.000000	547	0	182	683	0
Uxt	352.750000	1411	0	0	0	0
Hspa5	352.500000	1410	0	0	0	0
Dyrk3	352.500000	365	0	108	937	0
Gm3383	352.250000	1116	0	0	293	0
Rbm3	351.250000	1191	0	0	214	0
Ccdc77	351.000000	1226	0	0	178	0
Pramel12	350.750000	1041	0	110	252	0
Gdf1	350.750000	1263	0	0	140	0
Mkrn1	350.500000	1261	0	0	141	0
Nol10	350.250000	1256	0	0	145	0
Tmie	350.000000	1268	0	0	132	0
Als2cl	350.000000	1268	0	0	132	0
Tmem161b	349.750000	1283	0	0	116	0
Arid4a	349.750000	1399	0	0	0	0
Fasn	349.500000	1258	0	0	140	0
Ttc36	349.250000	1243	0	0	154	0
Tmem25	349.250000	1243	0	0	154	0
Rps29	349.000000	791	0	0	605	0
Stk39	348.750000	1247	0	0	148	0
Ciart	348.500000	1125	0	0	269	0
Stk33	348.000000	1110	0	0	282	0
Rc3h1	348.000000	1193	0	0	199	0
Ppip5k1	348.000000	1392	0	0	0	0
Ckmt1	348.000000	1392	0	0	0	0
Ift88	347.500000	1170	0	0	220	0
Cdc42	347.500000	1215	0	0	175	0
Ppp4r3b	347.250000	1147	0	0	242	0
Mcts2	347.250000	1285	0	0	104	0
Klhl18	347.250000	1242	0	0	147	0
Kif9	347.250000	1242	0	0	147	0
Slc9c1	346.750000	1118	0	121	148	0
Nudt2	346.500000	1213	0	0	173	0
Kif24	346.500000	1213	0	0	173	0
4932438A13Rik	346.500000	1219	0	0	167	0
Chfr	346.250000	1256	0	0	129	0
Naa40	346.000000	876	0	140	368	0
Mesd	346.000000	1170	0	0	214	0
Nr1d1	345.750000	1209	0	0	174	0
Hmbs	345.750000	1186	0	0	197	0
Tprn	344.500000	993	0	92	293	0
Traf5	344.250000	1377	0	0	0	0
Pdxk	344.250000	1262	0	0	115	0
Scamp4	344.000000	1085	0	0	291	0
Adat3	344.000000	1085	0	0	291	0
Zw10	343.750000	1213	0	0	162	0
Tmem94	343.750000	1094	0	0	281	0
Lin52	343.000000	720	0	173	479	0
Aldh6a1	343.000000	720	0	173	479	0
Speer1	342.750000	865	0	0	506	0
Actr5	342.750000	1246	0	0	125	0
Pitx3	342.000000	1220	0	0	148	0
Gbf1	342.000000	1220	0	0	148	0
Catsperg1	342.000000	1221	0	0	147	0
Ubc	341.750000	1272	0	0	95	0
Obi1	341.750000	1219	0	0	148	0
Homez	341.750000	1289	0	0	78	0
Pcdh8	341.500000	1107	0	0	259	0
Phf7	340.750000	671	0	121	571	0
Jcad	340.750000	1074	0	0	289	0
Crebrf	340.750000	649	0	0	714	0
Bap1	340.750000	671	0	121	571	0
Aspscr1	340.750000	426	0	0	937	0
Serf1	340.250000	1061	0	122	178	0
Rpl39l	340.250000	925	0	102	334	0
Bdp1	340.250000	1061	0	122	178	0
Ubxn4	340.000000	1221	0	0	139	0
Mtrr	340.000000	1195	0	0	165	0
Fastkd3	340.000000	1195	0	0	165	0
Sh3gl3	339.750000	1039	0	135	185	0
Xk	339.500000	940	0	0	418	0
Glcci1	339.500000	375	0	103	880	0
Csnk1g3	339.500000	1188	0	0	170	0
Eif4e2	339.250000	527	0	158	672	0
2610301B20Rik	339.000000	987	0	0	369	0
Tfg	338.750000	1194	0	0	161	0
Nudt5	338.750000	1215	0	0	140	0
Nemp1	338.750000	853	0	0	502	0
Cdc123	338.750000	1215	0	0	140	0
Golga7	338.500000	1011	0	135	208	0
Elof1	338.500000	1137	0	0	217	0
Tmem41b	338.250000	1075	0	0	278	0
Sec22a	338.000000	1266	0	0	86	0
Ilvbl	338.000000	1181	0	0	171	0
Elp5	337.500000	1220	0	130	0	0
Ctdnep1	337.500000	1220	0	130	0	0
Ssna1	337.250000	1139	0	0	210	0
Deptor	337.250000	1157	0	0	192	0
Anapc2	337.250000	1139	0	0	210	0
Tbc1d10a	336.750000	1269	0	0	78	0
Osgep	336.750000	1223	0	0	124	0
Apex1	336.750000	1223	0	0	124	0
Zfp956	336.500000	1138	0	0	208	0
Adpgk	336.250000	1345	0	0	0	0
2310057M21Rik	336.250000	1213	0	0	132	0
Zfp24	336.000000	1008	0	0	336	0
Pdha2	336.000000	1212	0	0	132	0
Alg13	336.000000	1344	0	0	0	0
Nucb2	335.750000	1343	0	0	0	0
4933402N22Rik	335.750000	836	0	0	507	0
Thada	335.500000	1342	0	0	0	0
Mphosph8	335.500000	1165	0	0	177	0
Map2k5	335.500000	892	0	0	450	0
Mnd1	335.250000	1341	0	0	0	0
Cbln1	335.250000	985	0	129	227	0
Tiparp	335.000000	1221	0	0	119	0
Mfsd6l	335.000000	1340	0	0	0	0
Kpna1	335.000000	0	464	518	358	0
Dap	335.000000	732	0	107	501	0
Tomm34	334.750000	1066	0	0	273	0
Stk4	334.750000	1066	0	0	273	0
Cdc37l1	334.500000	1147	0	0	191	0
Thap11	334.250000	1232	0	0	105	0
Cflar	334.250000	1337	0	0	0	0
Cenpt	334.250000	1232	0	0	105	0
Zfp819	334.000000	1336	0	0	0	0
Ccno	334.000000	1181	0	155	0	0
Gm3488	333.250000	1035	0	0	298	0
Gm3317	333.250000	1035	0	0	298	0
Fnip1	333.250000	909	0	0	424	0
Atoh8	333.250000	1177	0	0	156	0
Tom1	333.000000	1198	0	0	134	0
Mapk8ip2	333.000000	1177	0	0	155	0
Sspn	332.750000	544	196	287	304	0
Parp1	332.000000	1249	0	0	79	0
Ovol1	331.750000	1170	0	0	157	0
Trim28	331.500000	668	0	0	658	0
Rnf19a	331.250000	1068	0	0	257	0
Ggnbp2	331.000000	1101	0	0	223	0
Chrna10	331.000000	1170	0	0	154	0
Peli1	330.750000	1208	0	0	115	0
Ccar2	330.250000	1192	0	0	129	0
Rhcg	329.750000	1319	0	0	0	0
AI987944	329.750000	1005	0	0	314	0
Ints14	329.250000	1317	0	0	0	0
Cd164	329.250000	1036	0	0	281	0
Trmo	329.000000	1211	0	0	105	0
Zfp593	328.750000	1226	0	0	89	0
Spred3	328.750000	1015	0	95	205	0
Gm30191	328.750000	1226	0	0	89	0
Gm2012	328.750000	1046	0	0	269	0
Ggn	328.750000	1015	0	95	205	0
Id1	328.500000	1116	0	0	198	0
Ywhah	328.250000	848	0	0	465	0
Ccdc30	328.250000	997	0	152	164	0
Zscan18	328.000000	1191	0	0	121	0
Sdf2l1	328.000000	1312	0	0	0	0
Srcap	327.750000	1187	0	0	124	0
Rsph3b	327.750000	1207	0	0	104	0
Pdcl3	327.750000	1151	0	0	160	0
Ubald1	327.500000	1064	0	140	106	0
Glce	327.500000	1080	0	0	230	0
Nphp1	327.250000	762	106	121	320	0
Mtln	327.250000	762	106	121	320	0
Mrpl52	327.250000	1309	0	0	0	0
Mmp14	327.250000	1309	0	0	0	0
Rnf32	326.750000	1105	0	0	202	0
Nek11	326.500000	1190	0	0	116	0
Immp2l	326.500000	1178	0	0	128	0
Aste1	326.500000	1190	0	0	116	0
Naglu	326.250000	1305	0	0	0	0
Zfp106	326.000000	521	0	0	783	0
Snap23	326.000000	521	0	0	783	0
Kbtbd3	325.750000	1303	0	0	0	0
Gsc2	325.750000	1174	0	0	129	0
Ess2	325.750000	1174	0	0	129	0
Aasdhppt	325.750000	1303	0	0	0	0
Nectin3	325.500000	827	0	0	475	0
Rnf4	325.250000	1301	0	0	0	0
Sde2	325.000000	1107	0	0	193	0
Ccdc136	324.750000	1154	0	0	145	0
Ubl7	324.500000	1125	0	0	173	0
D030056L22Rik	324.500000	997	0	0	301	0
Srsf11	324.250000	553	0	81	663	0
Rcc1	324.250000	483	0	155	659	0
Lrrc40	324.250000	553	0	81	663	0
Fmn1	324.250000	1130	0	0	167	0
Ankrd28	324.000000	1197	0	0	99	0
Ninl	323.750000	1056	0	0	239	0
Dennd6b	323.750000	1114	0	0	181	0
Dnaic2	323.250000	1143	0	0	150	0
Cd320	323.000000	1176	0	0	116	0
Slc35a5	322.750000	1176	0	0	115	0
Entpd4b	322.750000	637	0	0	654	0
Entpd4	322.750000	637	0	0	654	0
Ccne1	322.750000	1176	0	0	115	0
Atg3	322.750000	1176	0	0	115	0
9430015G10Rik	322.500000	1204	0	0	86	0
Sugct	322.250000	1126	0	0	163	0
Mplkip	322.250000	1126	0	0	163	0
Gtf3c4	322.250000	1097	0	0	192	0
Ddx31	322.250000	1097	0	0	192	0
Ttc25	321.750000	1287	0	0	0	0
Anapc10	321.750000	1165	0	0	122	0
Abce1	321.750000	1165	0	0	122	0
Syce1l	321.500000	1286	0	0	0	0
Dhx37	321.500000	1132	0	0	154	0
Tctex1d2	321.250000	1193	0	0	92	0
Ndufs5	321.250000	1153	0	0	132	0
Sox12	321.000000	1066	0	0	218	0
Sap30	320.250000	1159	0	0	122	0
Wdr63	320.000000	1155	0	0	125	0
Napepld	320.000000	1280	0	0	0	0
Entpd6	319.750000	1137	0	0	142	0
Stxbp4	319.500000	1078	0	0	200	0
Pcmtd2	319.500000	1111	0	0	167	0
Dynlrb2	319.500000	1108	0	0	170	0
Cox11	319.500000	1078	0	0	200	0
Abca3	319.500000	795	0	200	283	0
Abca17	319.500000	795	0	200	283	0
Kif15	319.250000	759	0	0	518	0
1110059G10Rik	319.250000	759	0	0	518	0
Vdac3	319.000000	0	0	210	1066	0
Vcpip1	318.750000	1113	0	0	162	0
Shc1	318.750000	1165	0	0	110	0
Lbr	318.750000	1141	0	0	134	0
Cks1b	318.750000	1165	0	0	110	0
Srsf6	318.500000	823	0	105	346	0
Degs1	318.500000	1142	0	0	132	0
Unc45b	318.250000	1141	0	0	132	0
Ssr4	318.250000	1273	0	0	0	0
Nle1	318.250000	1141	0	0	132	0
Idh3g	318.250000	1273	0	0	0	0
Ccnyl1	318.250000	1185	0	0	88	0
H4f16	318.000000	1027	0	0	245	0
H2aj	318.000000	1027	0	0	245	0
Thoc2l	317.750000	1022	0	0	249	0
Sart1	317.750000	1067	0	0	204	0
Setd6	317.500000	1156	0	0	114	0
Scamp2	317.500000	1155	0	0	115	0
Lrrc71	317.500000	954	0	0	316	0
Imp3	317.500000	1063	0	0	207	0
Cep72	317.250000	996	0	0	273	0
Tex14	317.000000	1043	0	0	225	0
Rad51c	317.000000	1043	0	0	225	0
Thoc1	316.500000	1169	0	0	97	0
Tsacc	316.000000	986	0	0	278	0
Tmem30c	316.000000	1264	0	0	0	0
Sprr2k	316.000000	1264	0	0	0	0
Sprr1b	316.000000	1264	0	0	0	0
Cct3	316.000000	986	0	0	278	0
Tmed3	315.750000	1129	0	0	134	0
Ppp2r5c	315.750000	1054	0	0	209	0
Zscan29	315.000000	1005	0	0	255	0
Zbtb46	315.000000	942	0	117	201	0
Ttll5	315.000000	1160	0	0	100	0
Erg28	315.000000	1160	0	0	100	0
Slc7a2	314.750000	1085	0	0	174	0
Stk16	314.500000	1258	0	0	0	0
Snrnp25	314.500000	1164	0	0	94	0
Rfx5	314.500000	1003	0	140	115	0
Il9r	314.500000	1164	0	0	94	0
Glb1l	314.500000	1258	0	0	0	0
Lrrc20	314.250000	1257	0	0	0	0
Coil	314.250000	1136	0	0	121	0
Uqcc2	314.000000	1031	0	0	225	0
Comp	313.750000	804	0	145	306	0
Zfp473	313.500000	1148	0	0	106	0
Vrk3	313.500000	1148	0	0	106	0
Ranbp2	313.500000	1039	0	0	215	0
Tdrd6	313.000000	767	0	0	485	0
Mrtfa	313.000000	1128	0	0	124	0
Kmt5b	313.000000	1073	0	0	179	0
Spc25	312.750000	1251	0	0	0	0
G6pc2	312.750000	1251	0	0	0	0
G3bp2	312.750000	1063	0	0	188	0
Fh1	312.750000	1251	0	0	0	0
Btbd8	312.750000	1095	0	0	156	0
Tollip	312.500000	954	0	0	296	0
Thnsl2	312.500000	1250	0	0	0	0
Ska2	312.250000	1156	0	0	93	0
Prr11	312.250000	1156	0	0	93	0
Yeats2	312.000000	1039	0	0	209	0
Tmem131l	312.000000	1092	0	0	156	0
Znhit1	311.750000	880	0	0	367	0
Plod3	311.750000	880	0	0	367	0
Utp4	311.500000	527	0	0	719	0
Derpc	311.500000	527	0	0	719	0
Chtf8	311.500000	527	0	0	719	0
4931414P19Rik	311.500000	911	0	0	335	0
Pdp1	311.250000	1245	0	0	0	0
Zzef1	311.000000	1037	0	0	207	0
Prkaca	311.000000	1244	0	0	0	0
Cyb5d2	311.000000	1037	0	0	207	0
Arsb	311.000000	1071	0	0	173	0
Tesk1	310.750000	1062	0	0	181	0
Mettl4	310.750000	1150	0	0	93	0
Zbtb8os	310.500000	924	0	138	180	0
Rbbp4	310.500000	924	0	138	180	0
Dnah2	310.500000	1088	0	0	154	0
Ube2f	310.000000	0	0	0	1240	0
H2az1	310.000000	962	0	0	278	0
Dnajb14	310.000000	962	0	0	278	0
Mrpl10	309.750000	1058	0	0	181	0
Lrrc46	309.750000	1058	0	0	181	0
Stip1	309.500000	1134	0	0	104	0
Elp1	309.250000	1003	0	0	234	0
Dcaf7	309.250000	1237	0	0	0	0
Abitram	309.250000	1003	0	0	234	0
Svip	309.000000	980	0	0	256	0
Crocc	308.750000	1030	0	0	205	0
Zfp617	308.500000	1014	0	0	220	0
Zfp367	308.500000	691	0	0	543	0
Ran	308.500000	890	0	0	344	0
Rab42	308.500000	1234	0	0	0	0
Mfsd2a	308.000000	1232	0	0	0	0
Mprip	307.750000	938	0	0	293	0
Trim24	307.500000	487	0	0	743	0
Txnip	307.250000	1152	0	0	77	0
Rnf139	307.250000	0	0	189	1040	0
H2aw	307.250000	978	0	0	251	0
Uhrf2	307.000000	863	0	0	365	0
Fbxo7	307.000000	1071	0	0	157	0
Cenpm	306.750000	1227	0	0	0	0
Pank2	306.500000	1006	0	0	220	0
Ctnna3	306.500000	1056	0	0	170	0
Cactin	306.500000	1075	0	0	151	0
Tdrd9	306.250000	1056	0	0	169	0
Sec16a	306.250000	1040	0	0	185	0
Rasl11b	306.250000	1075	0	0	150	0
Atp5mpl	306.250000	1056	0	0	169	0
Smim24	306.000000	1047	0	0	177	0
Gm48552	306.000000	1047	0	0	177	0
Ficd	306.000000	942	0	0	282	0
Pdia3	305.250000	425	0	142	654	0
Catsper2	305.250000	425	0	142	654	0
Rer1	305.000000	1058	0	0	162	0
Morn1	305.000000	1058	0	0	162	0
Mapk8ip3	304.750000	1006	0	0	213	0
Entpd5	304.750000	750	0	0	469	0
Cfl2	304.750000	1116	0	0	103	0
Bbof1	304.750000	750	0	0	469	0
Smim14	304.500000	841	0	0	377	0
Gpi1	304.500000	1086	0	0	132	0
Dennd4c	304.250000	299	0	123	795	0
Rrm1	304.000000	1216	0	0	0	0
Oard1	304.000000	1099	0	0	117	0
Nfya	304.000000	1099	0	0	117	0
Inpp5k	304.000000	1087	0	0	129	0
Hydin	303.750000	968	0	0	247	0
Cdc14a	303.750000	956	0	0	259	0
Lrch4	303.500000	959	0	0	255	0
Fbxo24	303.500000	959	0	0	255	0
Thap7	303.000000	1078	0	0	134	0
Mrpl58	303.000000	1096	0	0	116	0
Kcnj2	303.000000	1029	0	0	183	0
Zfp59	302.500000	1091	0	0	119	0
Ube2e3	302.500000	1055	0	0	155	0
Pard6b	302.500000	1210	0	0	0	0
Gramd1b	302.250000	1077	0	0	132	0
Fbxw11	302.000000	1208	0	0	0	0
Lrrcc1	301.750000	1207	0	0	0	0
Gm5169	301.750000	1043	0	0	164	0
Paf1	301.500000	1048	0	0	158	0
Nuak2	301.500000	1206	0	0	0	0
Med29	301.500000	1048	0	0	158	0
Pcna	301.250000	1205	0	0	0	0
Usp36	301.000000	1137	0	0	67	0
Tial1	301.000000	1082	0	0	122	0
Lratd2	301.000000	1204	0	0	0	0
Atxn2l	300.750000	744	0	134	325	0
Ppp3cb	300.250000	938	0	0	263	0
Metap1d	300.250000	1080	0	0	121	0
H3c10	300.250000	863	0	0	338	0
H2bc13	300.250000	863	0	0	338	0
H2ac13	300.250000	863	0	0	338	0
Nat8l	299.750000	1053	0	0	146	0
Lrrc10b	299.750000	1199	0	0	0	0
Megf9	299.500000	1198	0	0	0	0
Gtf2ird1	299.500000	692	0	285	221	0
Cabcoco1	299.500000	1040	0	0	158	0
Gm6650	299.000000	932	0	0	264	0
Rtn3	298.750000	1073	0	0	122	0
Prpf4	298.250000	1065	0	0	128	0
Cdc26	298.250000	1065	0	0	128	0
Atxn3	298.250000	972	0	0	221	0
Acrbp	297.750000	958	0	107	126	0
Ubr7	297.250000	759	0	0	430	0
Ubac2	297.250000	1074	0	0	115	0
Gon7	297.250000	759	0	0	430	0
Gm20604	297.250000	759	0	0	430	0
Ralbp1	297.000000	1027	0	0	161	0
Fam98c	297.000000	763	0	87	338	0
Mapre1	296.750000	809	0	0	378	0
Kash5	296.750000	824	0	133	230	0
Pole3	296.250000	1185	0	0	0	0
Alad	296.250000	1185	0	0	0	0
Pip4p1	296.000000	1040	0	0	144	0
Camk2d	296.000000	1184	0	0	0	0
Abcc4	295.750000	975	0	81	127	0
Slc35a3	295.500000	911	0	0	271	0
Prps1	295.250000	892	0	118	171	0
Ifitm7	295.000000	748	0	0	432	0
Dhx36	295.000000	1180	0	0	0	0
Bmerb1	295.000000	748	0	0	432	0
Znrd2	294.750000	746	0	0	433	0
Tgif1	294.750000	1052	0	0	127	0
Tbc1d15	294.750000	1070	0	0	109	0
Tax1bp1	294.750000	1017	0	0	162	0
Fam89b	294.750000	746	0	0	433	0
Ehbp1l1	294.750000	746	0	0	433	0
Prdm15	294.500000	151	0	189	838	0
Zbtb42	293.750000	1063	0	0	112	0
Akt1	293.750000	1063	0	0	112	0
Slc16a1	293.250000	401	0	0	772	0
Orc5	293.000000	1067	0	0	105	0
Cacna1h	293.000000	951	0	0	221	0
Agpat3	292.750000	241	0	156	774	0
Tex11	292.500000	1170	0	0	0	0
Insig1	292.500000	1047	0	0	123	0
Atrip	292.500000	1170	0	0	0	0
Capn11	292.250000	858	0	0	311	0
Gabpa	292.000000	997	0	0	171	0
Atp5j	292.000000	997	0	0	171	0
Efcab12	291.750000	1167	0	0	0	0
Slc10a3	291.500000	566	0	272	328	0
Shisa3	291.500000	912	0	0	254	0
Hexim1	291.500000	996	0	0	170	0
Gm44504	291.500000	566	0	272	328	0
Ddx50	291.500000	740	0	0	426	0
Tatdn1	291.250000	1165	0	0	0	0
Ndufb9	291.250000	1165	0	0	0	0
Prmt7	291.000000	1030	0	0	134	0
Cotl1	291.000000	1164	0	0	0	0
Clp1	291.000000	1164	0	0	0	0
Atg5	291.000000	1164	0	0	0	0
Map3k2	290.750000	1031	0	0	132	0
Tcp11	290.500000	788	0	123	251	0
Slco6c1	290.500000	1162	0	0	0	0
Fam167a	290.500000	898	0	0	264	0
Gml2	290.250000	1025	0	0	136	0
Gml	290.250000	1025	0	0	136	0
Ccdc54	290.000000	1160	0	0	0	0
Thoc7	289.750000	261	0	0	898	0
Rnf113a1	289.750000	1159	0	0	0	0
Ndufa1	289.750000	1159	0	0	0	0
Gm6121	289.750000	935	0	0	224	0
Fbxl22	289.750000	583	0	0	576	0
Vps16	289.500000	1158	0	0	0	0
Skp1	289.500000	930	0	0	228	0
Pced1a	289.500000	1158	0	0	0	0
Tmem165	289.250000	970	0	0	187	0
Thap1	288.750000	285	0	109	761	0
Ldha	288.750000	1018	0	0	137	0
Thop1	288.500000	1154	0	0	0	0
Rbmxl2	288.500000	955	0	125	74	0
Fam98a	288.250000	1001	0	0	152	0
Psmd3	287.750000	1151	0	0	0	0
Fam76a	287.750000	945	0	0	206	0
Lrrfip2	287.250000	878	0	0	271	0
Them4	287.000000	1048	0	0	100	0
Kbtbd12	287.000000	980	0	0	168	0
Sgo1	286.750000	1147	0	0	0	0
Papolb	286.750000	1147	0	0	0	0
H3c15	286.750000	946	0	0	201	0
H3c14	286.750000	946	0	0	201	0
H2ac19	286.750000	946	0	0	201	0
H2ac18	286.750000	946	0	0	201	0
H3c7	286.500000	941	0	0	205	0
H2bc9	286.500000	941	0	0	205	0
Vps26b	286.250000	1145	0	0	0	0
Rgcc	286.250000	1022	0	0	123	0
Ncapd3	286.250000	1145	0	0	0	0
Auh	286.250000	667	0	0	478	0
H2bc3	286.000000	904	0	0	240	0
Avpi1	286.000000	1144	0	0	0	0
Mlh3	285.500000	1142	0	0	0	0
Anln	285.500000	920	0	0	222	0
Akip1	285.500000	934	0	0	208	0
9530077C05Rik	285.500000	920	0	0	222	0
Srgap2	285.250000	1060	0	0	81	0
Mettl6	285.250000	993	0	0	148	0
Fam72a	285.250000	1060	0	0	81	0
Eaf1	285.250000	993	0	0	148	0
Desi2	285.000000	1012	0	0	128	0
H3c3	284.750000	904	0	0	235	0
Amdhd2	284.750000	969	0	0	170	0
Ccna1	284.500000	853	0	0	285	0
9130401M01Rik	284.500000	1138	0	0	0	0
Slc12a4	284.000000	928	0	0	208	0
Trmt10a	283.750000	1021	0	0	114	0
Nsfl1c	283.750000	1135	0	0	0	0
Mttp	283.750000	1021	0	0	114	0
Zfp560	283.500000	980	0	0	154	0
Ube2v2	283.500000	951	0	0	183	0
Rgs22	283.500000	1018	0	0	116	0
Use1	283.250000	852	0	0	281	0
Ocel1	283.250000	852	0	0	281	0
Dhx30	283.250000	1032	0	0	101	0
Zfp277	283.000000	1132	0	0	0	0
Dock4	283.000000	1132	0	0	0	0
Taf9	282.750000	641	0	0	490	0
Rad17	282.750000	641	0	0	490	0
Nxt1	282.750000	908	0	0	223	0
Fndc3c1	282.750000	944	0	0	187	0
Bhlhe41	282.750000	686	0	0	445	0
Ak6	282.750000	641	0	0	490	0
Trappc6a	282.500000	1130	0	0	0	0
Bloc1s3	282.500000	1130	0	0	0	0
Eif1	282.250000	1129	0	0	0	0
Tcea2	282.000000	993	0	0	135	0
Ssh2	282.000000	265	0	77	786	0
Sox18	282.000000	993	0	0	135	0
Rex1bd	282.000000	994	0	0	134	0
Fam91a1	282.000000	1000	0	0	128	0
Enah	282.000000	920	0	0	208	0
Rp9	281.750000	753	0	183	191	0
Rmnd5a	281.750000	996	0	0	131	0
Sac3d1	281.500000	1126	0	0	0	0
Pfas	281.500000	1027	0	0	99	0
Brdt	281.500000	929	0	0	197	0
Herc2	281.250000	1125	0	0	0	0
Cog3	281.250000	925	0	0	200	0
Rsrc2	281.000000	945	0	0	179	0
Ptpn3	281.000000	610	0	0	514	0
Kntc1	281.000000	945	0	0	179	0
Fgfr3	281.000000	980	0	0	144	0
Tcte2	280.750000	802	0	88	233	0
Kdm5c	280.750000	1123	0	0	0	0
Ift22	280.750000	903	0	0	220	0
Afdn	280.750000	802	0	88	233	0
Ybx3	280.500000	0	0	156	966	0
Mideas	280.500000	977	0	0	145	0
Cetn4	280.250000	951	0	0	170	0
Bbs12	280.250000	951	0	0	170	0
Urb1	280.000000	679	0	199	242	0
Timm13	280.000000	1120	0	0	0	0
Scfd2	280.000000	1120	0	0	0	0
Mad2l2	280.000000	1120	0	0	0	0
Gfus	280.000000	1120	0	0	0	0
Fip1l1	280.000000	1120	0	0	0	0
Cox7c	280.000000	1120	0	0	0	0
Srms	279.750000	980	0	0	139	0
Mybl1	279.750000	530	0	0	589	0
Fndc11	279.750000	980	0	0	139	0
1190007I07Rik	279.750000	978	0	0	141	0
Zfp12	279.500000	986	0	0	132	0
Akap8	279.500000	1005	0	0	113	0
Aifm2	279.500000	1118	0	0	0	0
Tmem175	279.250000	927	0	0	190	0
Tmem120a	279.250000	782	0	0	335	0
Gak	279.250000	927	0	0	190	0
Rb1cc1	279.000000	909	0	0	207	0
Magohb	279.000000	1116	0	0	0	0
Tbc1d32	278.750000	1006	0	0	109	0
Rbm15	278.000000	986	0	0	126	0
Ppfia1	277.750000	838	0	0	273	0
Dnajb2	277.750000	908	0	0	203	0
Asb7	277.750000	1111	0	0	0	0
A630095N17Rik	277.750000	908	0	0	203	0
Dpy19l2	277.500000	987	0	0	123	0
Gspt1	277.250000	1109	0	0	0	0
Gopc	277.250000	828	0	0	281	0
Zfp36	277.000000	1000	0	0	108	0
Rnaseh2b	276.500000	990	0	0	116	0
Prr14	276.500000	1106	0	0	0	0
Paip1	276.500000	791	0	0	315	0
Sox11	276.250000	855	0	0	250	0
Mtif2	276.250000	841	0	0	264	0
Tcp11l2	276.000000	919	0	0	185	0
Pfn1	276.000000	426	0	111	567	0
Eno3	276.000000	426	0	111	567	0
Spdya	275.750000	971	0	0	132	0
Matn3	275.750000	830	0	0	273	0
Gon4l	275.750000	896	0	0	207	0
2900026A02Rik	275.750000	966	0	0	137	0
Zfp865	275.500000	1014	0	0	88	0
Zfp524	275.500000	1014	0	0	88	0
Hacd1	275.500000	733	0	96	273	0
Gykl1	275.250000	1101	0	0	0	0
4932438H23Rik	275.250000	1101	0	0	0	0
Rab23	275.000000	529	0	198	373	0
Lrrc36	275.000000	640	0	178	282	0
Kctd19	275.000000	640	0	178	282	0
Rps13	274.750000	954	0	0	145	0
Ccdc62	274.750000	905	0	0	194	0
