Target_genes	Prrx1|Average	SRX10457217|Dermal_fibroblasts	SRX10457200|MEF	SRX10457210|Myofibroblastic_cancer-associated_fibroblasts	STRING
Cldn34d	2949.666667	3172	2697	2980	0
Brox	2466.333333	2257	2104	3038	0
Aida	2466.333333	2257	2104	3038	0
Tcstv3	2152.000000	2225	1978	2253	0
Tmem125	1315.666667	1858	1409	680	0
Asmt	850.000000	977	636	937	0
Sspn	565.333333	395	464	837	0
Tmem204	480.666667	221	610	611	0
Emilin1	477.000000	0	667	764	0
Il31ra	409.666667	255	328	646	0
Gm4981	404.333333	488	408	317	0
Olfr62	399.333333	407	791	0	0
Zfp408	338.666667	0	543	473	0
Arhgap1	338.666667	0	543	473	0
Col16a1	331.666667	212	513	270	0
Rcl1	325.666667	286	561	130	0
Phyh	319.000000	488	333	136	0
Dux	311.333333	438	199	297	0
Angptl4	308.000000	0	397	527	0
9230019H11Rik	300.000000	645	255	0	0
Neil1	291.000000	316	557	0	0
Ptprs	284.333333	0	511	342	0
Zc2hc1a	274.666667	824	0	0	0
Nkap	264.666667	362	432	0	0
Rttn	263.666667	0	471	320	0
A1bg	261.333333	115	544	125	0
Pcolce	255.333333	0	391	375	0
Mon1b	249.000000	0	408	339	0
Olfml3	242.333333	0	360	367	0
Sash1	241.666667	0	362	363	0
Kmt2a	231.333333	0	694	0	0
Nab2	227.666667	0	396	287	0
Trim24	226.333333	0	227	452	0
Prph	220.000000	0	660	0	0
Gng8	220.000000	0	505	155	0
Nid2	209.666667	0	629	0	0
Svep1	201.666667	0	357	248	0
Mark4	196.000000	0	588	0	0
Exoc3l2	196.000000	0	588	0	0
Clmp	191.000000	0	371	202	0
S1pr2	186.333333	0	328	231	0
Cep126	183.333333	0	0	550	0
Gm19774	182.333333	0	207	340	0
Cd248	181.666667	0	337	208	0
Sfi1	177.666667	165	184	184	0
Eif4enif1	177.666667	165	184	184	0
Hip1	175.666667	0	222	305	0
Dusp23	175.666667	0	269	258	0
Gdf5	172.333333	0	314	203	0
Rex1bd	171.000000	0	336	177	0
Flnb	169.000000	0	224	283	0
Elobl	166.000000	213	285	0	0
Coil	166.000000	213	285	0	0
Speer4e	164.000000	0	222	270	0
Lrrc36	163.666667	0	491	0	0
Kctd19	163.666667	0	491	0	0
Fbln5	163.333333	0	270	220	0
Tmem119	158.666667	0	287	189	0
