Target_genes	Tfap4|Average	SRX554972|CD8+_T_cells	SRX1726746|Germinal_Center	SRX1726747|Germinal_Center	STRING
Golm2	401.666667	253	496	456	0
Zbtb17	401.333333	407	327	470	0
Zbtb12	401.333333	732	106	366	0
Wdr53	401.333333	254	334	616	0
Slc46a3	401.333333	708	130	366	0
Phip	401.333333	408	345	451	0
Phf19	401.333333	858	108	238	0
Fbxo45	401.333333	254	334	616	0
Ehmt2	401.333333	732	106	366	0
Rabgap1	401.000000	544	410	249	0
Pcbp1	401.000000	203	390	610	0
8030462N17Rik	401.000000	219	390	594	0
Zfp654	400.666667	324	259	619	0
Tbc1d1	400.666667	697	144	361	0
Mfsd10	400.666667	1202	0	0	0
Cggbp1	400.666667	324	259	619	0
Pik3c2a	400.333333	878	109	214	0
Nrbf2	400.333333	912	109	180	0
Mcfd2	400.333333	472	320	409	0
Slc39a7	400.000000	508	224	468	0
Rxrb	400.000000	508	224	468	0
Lef1	400.000000	1200	0	0	0
H2-Ke6	400.000000	508	224	468	0
Trrap	399.666667	431	340	428	0
Smarcc1	399.666667	662	194	343	0
Plcb3	399.666667	429	328	442	0
Cyth2	399.666667	856	156	187	0
Zfp580	399.333333	679	140	379	0
Thap11	399.333333	857	0	341	0
Cenpt	399.333333	857	0	341	0
Ccdc106	399.333333	679	140	379	0
Abcb6	399.000000	926	0	271	0
Rsl24d1	398.666667	574	188	434	0
Oxsm	398.333333	523	242	430	0
Ngly1	398.333333	523	242	430	0
Jak2	398.333333	378	361	456	0
Snap29	398.000000	398	375	421	0
Pi4ka	398.000000	398	375	421	0
Cdc42bpg	398.000000	636	173	385	0
3110082I17Rik	397.666667	614	174	405	0
Vamp8	397.333333	1192	0	0	0
Ell3	397.333333	831	113	248	0
Dnajc16	397.333333	624	223	345	0
Casp9	397.333333	624	223	345	0
Rrm2b	397.000000	286	401	504	0
Ppil4	397.000000	501	298	392	0
Ncaph2	397.000000	189	468	534	0
Lmf2	397.000000	189	468	534	0
Yrdc	396.666667	761	175	254	0
Gatd1	396.666667	464	422	304	0
1110065P20Rik	396.666667	761	175	254	0
Spata1	396.333333	251	321	617	0
Il2	396.333333	1189	0	0	0
Gng5	396.333333	251	321	617	0
Eif4b	396.333333	337	310	542	0
Casc3	396.333333	320	463	406	0
Usf2	396.000000	977	0	211	0
Ubald2	395.666667	977	0	210	0
Mbtps1	395.666667	281	447	459	0
Map2k7	395.666667	402	332	453	0
Eapp	395.666667	779	156	252	0
Ubash3b	395.333333	1186	0	0	0
Crls1	395.333333	463	208	515	0
Add3	395.333333	708	228	250	0
Xylt2	395.000000	510	309	366	0
Usp15	395.000000	196	415	574	0
Rcl1	395.000000	448	364	373	0
Msl2	395.000000	249	314	622	0
Sdc4	394.666667	1184	0	0	0
Odf2	394.666667	575	269	340	0
Mtdh	394.666667	515	306	363	0
Ralgds	394.333333	647	255	281	0
Pttg1ip	394.333333	782	170	231	0
Plekha2	394.333333	541	142	500	0
Gtf2e2	394.333333	349	364	470	0
Coro6	394.333333	893	105	185	0
Sec61b	394.000000	707	220	255	0
Plec	394.000000	913	0	269	0
Alg2	394.000000	707	220	255	0
Extl3	393.666667	722	105	354	0
Elmo2	393.666667	409	352	420	0
Arrb2	393.666667	667	190	324	0
Zbtb40	393.333333	465	235	480	0
AU041133	393.333333	806	140	234	0
Yod1	393.000000	647	179	353	0
Tubgcp5	393.000000	792	163	224	0
Pfkfb2	393.000000	647	179	353	0
Mief1	393.000000	343	303	533	0
Rab3d	392.666667	399	407	372	0
Zfp553	392.333333	487	241	449	0
Primpol	392.333333	396	276	505	0
Casp3	392.333333	396	276	505	0
Kdm2a	392.000000	868	117	191	0
Ccdc9	392.000000	429	318	429	0
Zmym6	391.666667	551	353	271	0
Zfp451	391.666667	502	234	439	0
Stk10	391.666667	669	145	361	0
Slc5a6	391.666667	459	392	324	0
Rgl2	391.666667	256	330	589	0
Rcn2	391.666667	899	158	118	0
Mmaa	391.666667	362	326	487	0
Cerk	391.666667	889	90	196	0
Atraid	391.666667	459	392	324	0
Rsrp1	391.333333	1174	0	0	0
Rpl8	391.333333	830	171	173	0
Itpka	391.333333	425	315	434	0
Gpr19	391.333333	521	258	395	0
Commd5	391.333333	830	171	173	0
A630095N17Rik	391.333333	779	179	216	0
Snai1	391.000000	797	153	223	0
Wdr37	390.666667	840	143	189	0
Rpl22	390.666667	427	258	487	0
Cenpe	390.666667	380	229	563	0
Tomm20	390.333333	395	451	325	0
Naa35	390.333333	390	372	409	0
B4galt7	390.333333	558	219	394	0
Abt1	390.333333	816	127	228	0
Mars2	390.000000	466	221	483	0
Leng8	390.000000	380	359	431	0
Larp1	390.000000	602	287	281	0
Cdk9	390.000000	301	362	507	0
Bag2	390.000000	904	75	191	0
Adh5	390.000000	204	522	444	0
Spty2d1	389.666667	634	249	286	0
Tmem39a	389.333333	492	302	374	0
Gpr65	389.333333	1168	0	0	0
Zdhhc1	389.000000	644	272	251	0
Tspan2	389.000000	753	116	298	0
Tfpt	389.000000	249	340	578	0
Prpf31	389.000000	249	340	578	0
Prpf19	389.000000	479	344	344	0
Pdp1	389.000000	268	421	478	0
H1f5	389.000000	915	0	252	0
C1qbp	389.000000	437	304	426	0
Slc25a53	388.666667	786	143	237	0
Rbm38	388.333333	227	511	427	0
Rab40c	388.000000	644	233	287	0
Calm2	388.000000	733	144	287	0
Tef	387.666667	471	284	408	0
Rasgrp3	387.666667	0	486	677	0
Gm2a	387.666667	400	348	415	0
Chmp7	387.666667	289	292	582	0
Cherp	387.666667	597	231	335	0
Snx5	387.333333	497	218	447	0
Rasgef1b	387.333333	414	268	480	0
Rab3gap1	387.333333	542	272	348	0
Mgme1	387.333333	497	218	447	0
Lcorl	387.333333	583	240	339	0
Alcam	387.333333	640	144	378	0
Akip1	387.333333	352	371	439	0
Zfp715	387.000000	929	101	131	0
Slc25a19	387.000000	776	150	235	0
Rnf130	387.000000	846	189	126	0
Thrap3	386.666667	425	278	457	0
Snrpa1	386.666667	501	236	423	0
Rab18	386.666667	846	0	314	0
Vps8	386.333333	495	215	449	0
Rusc1	386.000000	1158	0	0	0
Lrrc8c	386.000000	732	184	242	0
Zfp518a	385.666667	359	326	472	0
Zfp319	385.666667	677	200	280	0
Usb1	385.666667	677	200	280	0
Gtf3c6	385.666667	855	143	159	0
Apbb2	385.666667	621	225	311	0
Zdhhc16	385.333333	491	316	349	0
Svbp	385.333333	249	391	516	0
Rbbp6	385.333333	245	451	460	0
Exosc1	385.333333	491	316	349	0
Rfesd	385.000000	778	146	231	0
Rell1	385.000000	237	448	470	0
Tstd2	384.666667	808	152	194	0
Rgl1	384.666667	201	411	542	0
Ncbp1	384.666667	808	152	194	0
Arpc5	384.666667	201	411	542	0
Proser1	384.000000	497	319	336	0
Nhlrc3	384.000000	497	319	336	0
Msra	384.000000	693	145	314	0
Itprip	384.000000	1034	0	118	0
Krr1	383.666667	637	278	236	0
Tmem80	383.333333	616	222	312	0
Phb2	383.333333	418	279	453	0
Emg1	383.333333	418	279	453	0
Deaf1	383.333333	616	222	312	0
Commd1	383.333333	507	323	320	0
Zfand2a	383.000000	352	367	430	0
Mrpl30	383.000000	489	414	246	0
Mitd1	383.000000	489	414	246	0
Wtap	382.666667	483	322	343	0
Trim67	382.666667	1148	0	0	0
Tex30	382.666667	286	350	512	0
Rpl29	382.666667	673	160	315	0
Myo1d	382.666667	310	345	493	0
Lrrc8a	382.666667	292	327	529	0
Utp15	382.333333	327	288	532	0
Tfam	382.333333	284	384	479	0
Ssna1	382.333333	433	251	463	0
H3c10	382.333333	912	0	235	0
H2bc14	382.333333	912	0	235	0
H2bc13	382.333333	912	0	235	0
H2ac13	382.333333	912	0	235	0
Ankra2	382.333333	327	288	532	0
Anapc2	382.333333	433	251	463	0
AI467606	382.333333	880	91	176	0
Lemd2	382.000000	163	453	530	0
Fem1c	382.000000	504	256	386	0
Zc3h6	381.666667	390	281	474	0
Tnfaip3	381.666667	396	329	420	0
BC005537	381.666667	743	182	220	0
Zmym2	381.333333	622	205	317	0
Washc4	381.333333	698	175	271	0
Tpt1	381.333333	308	436	400	0
Rps12	381.333333	254	362	528	0
Inpp5e	381.333333	437	339	368	0
H4c3	381.333333	759	106	279	0
H1f6	381.333333	759	106	279	0
Gan	381.333333	324	448	372	0
Ppp1r16a	381.000000	427	350	366	0
Foxh1	381.000000	427	350	366	0
Tubb6	380.666667	998	0	144	0
Mapre1	380.666667	697	210	235	0
Lactb	380.666667	548	247	347	0
Ubxn10	380.333333	1141	0	0	0
Spo11	380.333333	923	0	218	0
Plbd2	380.333333	334	427	380	0
Pla2g2c	380.333333	1141	0	0	0
Pik3cg	380.333333	870	0	271	0
Dhdds	380.333333	323	502	316	0
Ube2q1	380.000000	539	244	357	0
Lax1	380.000000	692	218	230	0
Exd2	380.000000	547	317	276	0
Clp1	380.000000	380	250	510	0
Trub2	379.666667	851	129	159	0
Rxra	379.666667	1139	0	0	0
Rnf187	379.666667	853	0	286	0
Pik3cd	379.666667	929	110	100	0
Cirbp	379.666667	697	164	278	0
Amz2	379.666667	586	306	247	0
Txnl1	379.333333	386	265	487	0
Tmem127	379.333333	700	196	242	0
Pitpnb	379.333333	336	428	374	0
Ciao1	379.333333	700	196	242	0
Trnau1ap	379.000000	358	399	380	0
H3c13	379.000000	890	0	247	0
H2bc18	379.000000	890	0	247	0
Ube3b	378.666667	780	103	253	0
Pop7	378.666667	342	311	483	0
Kctd10	378.666667	780	103	253	0
Ppp3cb	378.333333	606	207	322	0
Grcc10	378.333333	218	503	414	0
Wapl	378.000000	429	252	453	0
Bbc3	378.000000	807	180	147	0
Gxylt1	377.666667	282	351	500	0
Orai2	377.333333	971	0	161	0
Spryd7	377.000000	366	286	479	0
Rabggtb	377.000000	259	371	501	0
Txnip	376.666667	682	154	294	0
Tlcd1	376.666667	761	163	206	0
Rce1	376.666667	483	195	452	0
Ppig	376.666667	702	159	269	0
Nek8	376.666667	761	163	206	0
Lsm11	376.666667	347	344	439	0
Trp53i13	376.333333	697	105	327	0
Hipk1	376.333333	270	371	488	0
Abhd15	376.333333	697	105	327	0
AI413582	376.333333	447	261	421	0
Tmem203	376.000000	492	233	403	0
Ndufab1	376.000000	449	220	459	0
Ndor1	376.000000	492	233	403	0
Kifc5b	376.000000	237	433	458	0
H4c8	376.000000	868	0	260	0
H3c8	376.000000	868	0	260	0
H2ac10	376.000000	868	0	260	0
Dynlt1b	376.000000	231	396	501	0
Zdhhc3	375.666667	430	290	407	0
Pus10	375.666667	685	242	200	0
Pmpca	375.666667	407	284	436	0
Maea	375.666667	905	122	100	0
Exosc7	375.666667	430	290	407	0
Entr1	375.666667	407	284	436	0
Cxcr5	375.666667	649	128	350	0
Comtd1	375.666667	1127	0	0	0
Baiap2	375.666667	259	423	445	0
A430057M04Rik	375.666667	1127	0	0	0
Naxd	375.333333	401	432	293	0
Vasp	375.000000	882	0	243	0
Slc9a1	375.000000	389	264	472	0
Notch1	375.000000	759	177	189	0
Exoc3l	375.000000	484	273	368	0
E2f4	375.000000	484	273	368	0
Wnk1	374.666667	259	313	552	0
Hps5	374.666667	519	273	332	0
Gtf2h1	374.666667	519	273	332	0
Cd55	374.666667	941	0	183	0
Ccnl1	374.666667	435	255	434	0
Afg3l2	374.666667	330	353	441	0
Vkorc1l1	374.333333	122	536	465	0
Usp31	374.333333	428	259	436	0
Tarsl2	374.000000	571	259	292	0
Syt12	374.000000	1122	0	0	0
Krit1	374.000000	672	115	335	0
Ankib1	374.000000	672	115	335	0
Tmem43	373.666667	271	375	475	0
Otud1	373.666667	538	231	352	0
Chchd4	373.666667	271	375	475	0
Cdk7	373.666667	364	361	396	0
Asb16	373.666667	977	0	144	0
Aip	373.666667	158	448	515	0
Vmp1	373.333333	831	82	207	0
Ptrh2	373.333333	831	82	207	0
Ostm1	373.333333	598	215	307	0
Gtf3c5	373.333333	530	268	322	0
Armc5	373.333333	409	265	446	0
9130023H24Rik	373.333333	409	265	446	0
Vps37b	373.000000	597	207	315	0
Rplp2	373.000000	268	423	428	0
Pidd1	373.000000	268	423	428	0
Mtg1	373.000000	708	245	166	0
Gse1	373.000000	503	315	301	0
Golga3	373.000000	620	173	326	0
Cr1l	373.000000	797	0	322	0
Atg5	373.000000	380	281	458	0
Prex1	372.333333	375	381	361	0
Mapk8ip3	372.333333	557	170	390	0
Arfip1	372.333333	616	173	328	0
Afg1l	372.333333	492	250	375	0
Tdp1	372.000000	193	410	513	0
Efcab11	372.000000	193	410	513	0
Dok4	372.000000	264	284	568	0
Ttpal	371.666667	549	178	388	0
Rnf214	371.333333	221	354	539	0
Pds5b	371.333333	324	441	349	0
Pcsk7	371.333333	221	354	539	0
Gipc1	371.333333	346	364	404	0
Pdk1	371.000000	296	385	432	0
Pias3	370.666667	161	363	588	0
Nfxl1	370.666667	296	398	418	0
Dennd6b	370.666667	379	319	414	0
Asmt	370.333333	668	213	230	0
Zmynd10	370.000000	719	144	247	0
Tbp	370.000000	448	267	395	0
Psmb1	370.000000	448	267	395	0
Lsm14b	370.000000	410	260	440	0
Dcakd	370.000000	562	173	375	0
Uba5	369.666667	720	91	298	0
Trappc10	369.666667	482	256	371	0
Senp8	369.666667	232	370	507	0
Myo9a	369.666667	232	370	507	0
Mettl18	369.666667	576	335	198	0
BC055324	369.666667	576	335	198	0
Acad11	369.666667	720	91	298	0
Abtb1	369.666667	349	369	391	0
Serf2	369.333333	756	159	193	0
Ncoa3	369.333333	233	424	451	0
Evi2a	369.333333	1108	0	0	0
Evi2	369.333333	1108	0	0	0
Ddx23	369.333333	455	233	420	0
Tpst2	369.000000	86	488	533	0
Stxbp3	369.000000	344	299	464	0
Atg16l2	369.000000	470	258	379	0
Xrcc6	368.666667	754	146	206	0
Washc2	368.666667	816	121	169	0
Sirt6	368.666667	514	308	284	0
Jrk	368.666667	537	261	308	0
Eif4a1	368.666667	371	284	451	0
Desi1	368.666667	754	146	206	0
Zfp189	368.333333	426	267	412	0
Xpr1	368.333333	398	305	402	0
Mrpl50	368.333333	426	267	412	0
Chmp5	368.333333	316	400	389	0
Bag1	368.333333	316	400	389	0
Zfp62	368.000000	355	188	561	0
Spata5	368.000000	446	310	348	0
Nudt6	368.000000	446	310	348	0
Gpr176	368.000000	564	148	392	0
Sec16a	367.666667	346	347	410	0
Katnbl1	367.666667	491	95	517	0
Kat2a	367.666667	1103	0	0	0
Hspb9	367.666667	1103	0	0	0
Tle5	367.000000	874	0	227	0
Mzb1	367.000000	0	411	690	0
Zfp560	366.666667	386	255	459	0
Pak1	366.666667	832	105	163	0
Dpy19l3	366.666667	536	287	277	0
Card19	366.666667	555	229	316	0
Bin2	366.333333	752	123	224	0
Slc8b1	366.000000	109	425	564	0
Sgtb	366.000000	277	428	393	0
Nln	366.000000	277	428	393	0
Dtwd2	366.000000	368	247	483	0
Coa8	366.000000	427	272	399	0
Bag5	366.000000	427	272	399	0
Tpk1	365.666667	249	355	493	0
Socs6	365.666667	316	331	450	0
Kbtbd3	365.666667	244	396	457	0
Aasdhppt	365.666667	244	396	457	0
Sbf1	365.333333	283	393	420	0
Cops8	365.333333	390	292	414	0
Wdsub1	365.000000	752	229	114	0
Tvp23b	365.000000	256	385	454	0
Tmtc4	365.000000	559	184	352	0
Rmnd1	365.000000	322	342	431	0
Pdia6	365.000000	407	332	356	0
Med21	365.000000	540	201	354	0
Lmln	365.000000	675	270	150	0
Hnrnph1	365.000000	330	272	493	0
Armt1	365.000000	322	342	431	0
Ets1	364.666667	465	302	327	0
Ccnh	364.666667	628	262	204	0
Atp1b3	364.666667	366	255	473	0
Otud7b	364.333333	322	350	421	0
Mfsd1	364.333333	512	215	366	0
Gpi1	364.000000	536	229	327	0
Ddx46	364.000000	334	319	439	0
BC048403	364.000000	379	270	443	0
5730455P16Rik	364.000000	642	140	310	0
Pold1	363.666667	530	288	273	0
Nr1h2	363.666667	530	288	273	0
Mapre2	363.666667	645	155	291	0
Flywch1	363.666667	291	276	524	0
Pan2	363.333333	717	172	201	0
Gon4l	363.333333	532	250	308	0
Zfp281	363.000000	834	105	150	0
Tm2d1	363.000000	622	136	331	0
Styx	363.000000	352	331	406	0
Rwdd1	363.000000	540	229	320	0
Ppp2cb	363.000000	314	250	525	0
Tnfrsf22	362.666667	960	0	128	0
Srd5a3	362.666667	344	334	410	0
Mtmr12	362.666667	336	310	442	0
Agl	362.666667	365	285	438	0
Zfp397	362.333333	751	185	151	0
Terf1	362.333333	903	0	184	0
Setd7	362.333333	856	92	139	0
Pdcd5	362.333333	207	321	559	0
Nrtn	362.333333	706	143	238	0
Kmt2d	362.333333	434	166	487	0
Cyp20a1	362.333333	855	0	232	0
Unc50	362.000000	432	219	435	0
S1pr4	362.000000	222	403	461	0
Ncln	362.000000	222	403	461	0
Dhrs11	362.000000	428	364	294	0
Coa5	362.000000	432	219	435	0
Psmd7	361.666667	340	291	454	0
Pskh1	361.666667	310	359	416	0
Mtfr1l	361.666667	443	262	380	0
Mtf1	361.666667	565	256	264	0
Tmco1	361.333333	333	268	483	0
Srsf3	361.333333	618	202	264	0
Emp3	361.333333	561	149	374	0
Ccdc114	361.333333	561	149	374	0
Plekhb1	361.000000	1083	0	0	0
Kif2c	361.000000	552	192	339	0
Fchsd1	361.000000	280	305	498	0
Bsg	361.000000	271	420	392	0
Etfrf1	360.666667	288	441	353	0
Casc1	360.666667	288	441	353	0
Tmem39b	360.333333	489	268	324	0
Ppp1r13b	360.333333	273	297	511	0
Pip5k1c	360.333333	482	195	404	0
Tmem134	360.000000	117	448	515	0
Fbxl3	360.000000	766	70	244	0
Ckap5	360.000000	593	143	344	0
Zfp68	359.666667	624	207	248	0
Tmem167b	359.666667	466	305	308	0
Rbm15	359.666667	966	0	113	0
A430033K04Rik	359.666667	624	207	248	0
Sfxn5	359.333333	436	268	374	0
Nmt2	359.333333	303	336	439	0
Mfsd14a	359.333333	385	200	493	0
Epn1	359.333333	333	397	348	0
Bcl6	359.333333	779	0	299	0
Zfp335	359.000000	487	242	348	0
Snrpe	359.000000	371	326	380	0
H4c11	359.000000	650	170	257	0
Dpy19l1	359.000000	578	160	339	0
Cfap97	359.000000	412	300	365	0
Timm50	358.666667	395	314	367	0
Noc4l	358.666667	416	245	415	0
Dus3l	358.666667	706	132	238	0
Ddx51	358.666667	416	245	415	0
Mrps28	358.333333	399	314	362	0
Ergic2	358.333333	796	122	157	0
Hpdl	358.000000	1074	0	0	0
Gna11	358.000000	392	389	293	0
Fam76a	358.000000	496	207	371	0
Txn1	357.666667	298	326	449	0
Hspa8	357.666667	477	214	382	0
Spop	357.000000	619	149	303	0
Cog3	357.000000	227	292	552	0
Wdr4	356.666667	561	200	309	0
Tubb5	356.666667	600	140	330	0
Mdc1	356.666667	600	140	330	0
Esyt1	356.666667	646	157	267	0
Trak2	356.333333	467	236	366	0
Tatdn3	356.333333	235	377	457	0
Nsl1	356.333333	235	377	457	0
Josd1	356.333333	499	341	229	0
Gtpbp1	356.333333	499	341	229	0
Atp6v1h	356.333333	777	158	134	0
Zfp507	356.000000	451	265	352	0
Smarcd1	356.000000	472	303	293	0
Ppp2r2d	356.000000	525	258	285	0
Nckap5l	356.000000	625	219	224	0
Mapk1ip1	356.000000	525	258	285	0
Banp	356.000000	350	236	482	0
Zswim3	355.666667	735	156	176	0
Slc4a2	355.666667	299	354	414	0
Scfd1	355.666667	482	200	385	0
Pih1d1	355.666667	204	433	430	0
Mideas	355.666667	684	212	171	0
Klhl12	355.666667	405	279	383	0
Cdk5	355.666667	299	354	414	0
Bola3	355.666667	455	220	392	0
Aldh16a1	355.666667	204	433	430	0
Acot8	355.666667	735	156	176	0
Tmem126b	355.333333	553	133	380	0
Stk40	355.333333	383	413	270	0
Mettl3	355.333333	786	94	186	0
Dusp5	355.333333	504	303	259	0
Tdp2	355.000000	461	196	408	0
Syp	355.000000	445	298	322	0
Srm	355.000000	455	248	362	0
Snrpd1	355.000000	409	238	418	0
Pigz	355.000000	769	0	296	0
Mapk1ip1l	355.000000	359	290	416	0
Acot13	355.000000	461	196	408	0
Polr2j	354.666667	402	305	357	0
Fkbp3	354.666667	429	305	330	0
Fancm	354.666667	429	305	330	0
Ddx27	354.666667	552	221	291	0
Tex2	354.333333	363	244	456	0
Stxbp1	354.333333	733	173	157	0
Smim12	354.333333	231	278	554	0
Ptprn2	354.333333	194	538	331	0
Ebag9	354.333333	500	239	324	0
Cblb	354.333333	908	0	155	0
Suco	354.000000	285	311	466	0
Lysmd3	354.000000	451	259	352	0
Tbrg4	353.666667	245	225	591	0
Pou2f1	353.666667	368	308	385	0
Otud4	353.666667	206	397	458	0
Npas4	353.666667	1061	0	0	0
Trap1	353.333333	378	330	352	0
Pgd	353.333333	506	187	367	0
Pex10	353.333333	264	436	360	0
Dennd1a	353.333333	177	401	482	0
Cep131	353.333333	734	166	160	0
Arl8a	353.333333	1060	0	0	0
Snx29	353.000000	373	314	372	0
Orai1	353.000000	494	216	349	0
Gpr84	353.000000	273	339	447	0
Vwa8	352.666667	638	215	205	0
Psmd12	352.666667	401	201	456	0
Fam118a	352.666667	392	308	358	0
Tsga10	352.333333	195	494	368	0
Smarca2	352.333333	731	209	117	0
Psmc3ip	352.333333	948	0	109	0
Phkb	352.333333	614	241	202	0
Mcph1	352.333333	227	359	471	0
Itfg1	352.333333	614	241	202	0
Inpp5k	352.333333	313	306	438	0
Fndc11	352.333333	461	173	423	0
Aaas	352.333333	314	321	422	0
Tmem69	352.000000	350	285	421	0
Prrt1	352.000000	1056	0	0	0
Ppt2	352.000000	1056	0	0	0
Mpc2	352.000000	270	405	381	0
Ipo5	352.000000	185	383	488	0
Gpbp1l1	352.000000	350	285	421	0
Dcaf6	352.000000	270	405	381	0
Creb1	352.000000	737	102	217	0
Cenpm	352.000000	892	0	164	0
Arfgap1	352.000000	498	221	337	0
Trmt6	351.666667	639	190	226	0
Mcm8	351.666667	639	190	226	0
H3c4	351.666667	811	78	166	0
H2bc8	351.666667	811	78	166	0
H2bc7	351.666667	811	78	166	0
H2ac8	351.666667	811	78	166	0
H2ac7	351.666667	811	78	166	0
Dnajb2	351.666667	779	60	216	0
Ccnt1	351.666667	311	326	418	0
Cbll1	351.666667	469	186	400	0
4930415O20Rik	351.666667	311	326	418	0
Rps17	351.333333	132	350	572	0
Lonp1	351.333333	276	256	522	0
Galnt6	351.333333	1054	0	0	0
Catsperd	351.333333	276	256	522	0
Zc3h3	350.666667	485	271	296	0
Tmem214	350.666667	286	253	513	0
Slc39a9	350.666667	631	162	259	0
Man2c1	350.666667	845	0	207	0
Frg1	350.666667	341	259	452	0
Fam160a2	350.666667	349	322	381	0
Erh	350.666667	631	162	259	0
Dpp3	350.666667	675	195	182	0
Cnga4	350.666667	349	322	381	0
Clasp1	350.666667	352	338	362	0
Ss18l2	350.333333	420	182	449	0
Rpia	350.333333	388	213	450	0
Nup107	350.333333	243	301	507	0
Ctbp1	350.333333	376	322	353	0
Irgm2	350.000000	1050	0	0	0
Zfand1	349.666667	294	399	356	0
Vps29	349.666667	253	312	484	0
Szt2	349.666667	585	116	348	0
Snrpb2	349.666667	364	254	431	0
Rad9b	349.666667	253	312	484	0
Med8	349.666667	585	116	348	0
Mycn	349.333333	1048	0	0	0
Gins1	349.333333	442	351	255	0
Foxk1	349.333333	207	205	636	0
Crebbp	349.333333	163	268	617	0
Abcf3	349.333333	821	130	97	0
Vpreb1	349.000000	489	232	326	0
Tsg101	349.000000	534	153	360	0
Top3b	349.000000	489	232	326	0
Ssu72	349.000000	408	264	375	0
Foxo6	349.000000	211	436	400	0
Efcab14	349.000000	302	415	330	0
Sox12	348.666667	874	0	172	0
Rtraf	348.666667	207	275	564	0
Atf2	348.666667	171	368	507	0
Rnf123	348.333333	406	251	388	0
Pex14	348.333333	361	273	411	0
Osbp	348.333333	891	0	154	0
Mst1	348.333333	406	251	388	0
Dffa	348.333333	361	273	411	0
C2cd5	348.333333	256	321	468	0
Tfip11	348.000000	171	318	555	0
Mia2	348.000000	198	393	453	0
Exo5	348.000000	371	305	368	0
Ndufs1	347.666667	584	167	292	0
Eef1b2	347.666667	584	167	292	0
Cldn15	347.666667	1043	0	0	0
Nsd3	347.333333	558	176	308	0
Letm2	347.333333	558	176	308	0
Scaf4	347.000000	214	456	371	0
Mtmr2	347.000000	435	319	287	0
Egln3	347.000000	1041	0	0	0
Zfp511	346.666667	318	319	403	0
Tubgcp2	346.666667	318	319	403	0
Ap1b1	346.666667	277	362	401	0
Ythdf1	346.333333	308	425	306	0
Mtmr4	346.333333	688	111	240	0
Mrpl34	346.333333	508	243	288	0
Erich1	346.333333	898	0	141	0
Elp1	346.333333	491	122	426	0
Dda1	346.333333	508	243	288	0
Abitram	346.333333	491	122	426	0
Abhd8	346.333333	508	243	288	0
Ubn1	346.000000	890	0	148	0
Stxbp5	346.000000	802	100	136	0
Purb	346.000000	405	167	466	0
Pip4k2b	346.000000	209	455	374	0
Ikbip	346.000000	547	246	245	0
Glyr1	346.000000	890	0	148	0
Fuom	346.000000	727	0	311	0
Apaf1	346.000000	547	246	245	0
Tln1	345.666667	393	253	391	0
Rmdn1	345.666667	731	181	125	0
Klf10	345.666667	513	152	372	0
Fem1b	345.666667	445	208	384	0
Creb3	345.666667	393	253	391	0
Cpne3	345.666667	731	181	125	0
Nprl2	345.333333	635	154	247	0
Cyb561d2	345.333333	635	154	247	0
Usp2	345.000000	348	264	423	0
Phf1	345.000000	350	330	355	0
LTO1	345.000000	518	231	286	0
Fam241a	345.000000	307	304	424	0
Ube3a	344.666667	472	239	323	0
Suds3	344.666667	224	337	473	0
Stat5b	344.666667	609	133	292	0
Irf8	344.666667	691	178	165	0
Ipo13	344.666667	319	275	440	0
Il12rb1	344.666667	629	165	240	0
Cdt1	344.666667	338	325	371	0
Psma4	344.333333	579	189	265	0
Nfe2l1	344.333333	739	137	157	0
AY074887	344.333333	579	189	265	0
Unc93b1	344.000000	618	189	225	0
Srebf2	344.000000	412	322	298	0
Pdcd6ip	344.000000	543	199	290	0
Eprs	344.000000	329	294	409	0
Abcf2	344.000000	499	213	320	0
Cabp1	343.666667	706	0	325	0
Tmem64	343.333333	291	319	420	0
Prepl	343.333333	409	159	462	0
Mfap3	343.333333	575	142	313	0
Haus4	343.333333	485	194	351	0
Fam114a2	343.333333	575	142	313	0
Dync1i2	343.333333	572	121	337	0
Cmtm6	343.333333	333	321	376	0
Camkmt	343.333333	409	159	462	0
Trip13	343.000000	282	315	432	0
Tmem109	343.000000	1029	0	0	0
Rnf141	343.000000	410	307	312	0
Ldlrap1	343.000000	169	336	524	0
Crk	343.000000	447	293	289	0
Brd9	343.000000	282	315	432	0
Psmg4	342.666667	663	200	165	0
Gm527	342.666667	576	224	228	0
Zmym4	342.333333	737	129	161	0
Rassf3	342.333333	202	316	509	0
Ppfia1	342.333333	291	325	411	0
Iah1	342.333333	612	179	236	0
Fam210b	342.333333	156	427	444	0
Tnfrsf9	342.000000	1026	0	0	0
Slc25a40	342.000000	250	339	437	0
Flcn	342.000000	618	151	257	0
Eef2	342.000000	734	100	192	0
Dbf4	342.000000	250	339	437	0
Cep295	342.000000	415	230	381	0
Bbs9	342.000000	306	307	413	0
Abhd10	342.000000	522	197	307	0
Tle1	341.666667	322	330	373	0
Mtx3	341.666667	739	129	157	0
Gm5544	341.666667	1025	0	0	0
Ddx18	341.666667	415	299	311	0
Chd2	341.666667	437	280	308	0
Sec13	341.333333	404	179	441	0
Rcan1	341.333333	434	300	290	0
Klhdc8b	341.333333	480	261	283	0
Ccdc71	341.333333	480	261	283	0
Ddx20	341.000000	298	235	490	0
Tm2d3	340.666667	411	225	386	0
Tbc1d23	340.666667	507	137	378	0
Rbm39	340.666667	510	161	351	0
Kpna3	340.666667	388	289	345	0
