Target_genes	Atf3|Average	SRX15561941|C2C12	SRX122483|Dendritic_Cells	SRX122484|Dendritic_Cells	SRX122485|Dendritic_Cells	SRX122486|Dendritic_Cells	SRX122487|Dendritic_Cells	SRX122488|Dendritic_Cells	SRX122489|Dendritic_Cells	SRX122490|Dendritic_Cells	SRX122491|Dendritic_Cells	SRX122492|Dendritic_Cells	SRX2901300|Macrophages	SRX2901301|Macrophages	SRX2901302|Macrophages	SRX2901303|Macrophages	SRX2901304|Macrophages	SRX450305|Macrophages	SRX450306|Macrophages	SRX450309|Macrophages	SRX475801|Macrophages	SRX475802|Macrophages	SRX475803|Macrophages	SRX475804|Macrophages	SRX475805|Macrophages	SRX475806|Macrophages	SRX8245912|Macrophages	SRX8245913|Macrophages	SRX8245926|Macrophages	SRX8245927|Macrophages	SRX672451|Pancreas	STRING
Tcstv3	937.033333	545	529	448	220	201	394	521	505	547	314	472	1398	1611	1368	1378	1424	879	1589	1628	1251	1238	1238	1278	1290	1261	1371	1283	780	715	435	0
Cldn34d	754.166667	603	0	166	209	246	0	153	0	0	0	0	1823	1675	1808	1648	1550	247	128	0	844	959	836	941	824	879	1912	1899	1329	1222	724	0
Brox	562.800000	244	0	216	189	226	0	0	0	0	0	156	1793	1979	1561	1648	1317	94	134	0	550	760	475	632	551	559	957	1074	576	627	566	0
Aida	562.800000	244	0	216	189	226	0	0	0	0	0	156	1793	1979	1561	1648	1317	94	134	0	550	760	475	632	551	559	957	1074	576	627	566	0
Stk40	560.966667	0	0	0	0	0	0	0	0	0	0	0	2447	2018	1942	2067	2122	127	0	0	113	0	101	0	84	0	1268	514	1992	1717	317	0
Herpud1	536.900000	0	0	0	0	0	0	0	0	0	0	0	2368	2492	1875	1872	2115	0	0	0	0	0	0	0	0	0	1300	478	1692	1542	373	0
Eif4ebp1	492.866667	0	0	0	0	0	0	0	0	0	0	0	2012	1523	1270	2097	2115	0	0	0	0	0	0	0	0	0	1634	601	2005	1529	0	0
Itih1	467.700000	0	0	0	0	0	0	0	0	0	0	0	1535	1418	1633	2682	2714	95	0	0	0	0	0	0	0	0	956	336	1498	1164	0	0
Nudt13	450.600000	0	0	0	0	0	0	0	0	0	0	0	1757	1539	1533	2276	2182	150	0	0	0	0	128	0	0	0	902	242	1609	1200	0	0
Itga5	422.200000	0	0	0	0	0	0	0	0	0	0	0	1146	2013	2112	2617	2591	134	0	0	0	0	0	0	0	0	315	185	973	580	0	0
Prss56	421.066667	0	0	0	0	0	0	0	0	0	0	0	1730	1782	1890	2663	2791	142	0	0	0	0	0	0	0	0	0	0	917	487	230	0
Kpna1	407.266667	0	0	0	0	0	0	0	0	0	0	0	697	626	517	469	460	0	0	0	929	845	764	788	894	948	1104	1590	806	589	192	0
Dot1l	402.833333	0	0	0	0	0	0	0	0	0	0	0	1427	1460	1828	2193	1838	79	0	0	0	0	0	0	0	0	378	221	1464	694	503	0
Tmcc3	394.433333	0	0	0	129	0	0	0	0	0	0	0	985	1015	1126	2706	2788	0	0	0	0	0	0	0	0	0	674	154	1320	675	261	0
Btbd19	391.733333	0	0	0	0	0	0	0	0	0	0	0	1601	1193	1266	2189	2087	0	0	0	0	0	0	0	0	0	827	0	1600	989	0	0
Gda	379.333333	0	0	0	0	0	0	0	0	0	0	0	1106	1201	1470	1997	1816	92	0	0	0	0	64	0	0	0	434	0	1941	1259	0	0
Shisal2a	377.533333	0	0	0	190	0	0	0	0	0	0	0	1026	785	1187	2753	2394	107	0	0	0	0	0	0	0	0	239	0	1769	876	0	0
Pdap1	376.600000	0	0	0	0	0	0	0	0	0	0	0	1481	1383	1480	1218	1074	0	0	0	0	0	0	0	0	0	1137	338	1655	1386	146	0
Bud31	376.600000	0	0	0	0	0	0	0	0	0	0	0	1481	1383	1480	1218	1074	0	0	0	0	0	0	0	0	0	1137	338	1655	1386	146	0
Atf3	375.000000	0	0	0	0	0	0	0	0	0	0	0	1854	1490	1251	1744	1591	0	0	0	0	0	0	0	0	0	717	271	1123	891	318	0
Mideas	374.766667	0	0	0	0	0	0	0	0	0	0	0	1503	1196	1349	2061	1828	0	0	0	140	0	0	0	0	0	507	209	1299	976	175	0
Hrob	372.366667	0	0	0	0	0	0	0	0	0	0	0	1484	1454	1591	2247	2120	0	0	0	0	0	0	0	0	0	416	0	927	724	208	0
Il31ra	361.166667	0	0	0	0	0	0	0	0	0	0	0	524	496	469	596	379	87	0	197	826	876	832	589	700	585	1061	1193	703	480	242	0
Rabggta	355.166667	0	0	0	0	0	0	0	0	0	0	0	1323	1004	1274	2091	1761	0	0	0	0	0	0	0	0	0	592	250	1225	835	300	0
Ddit3	355.000000	0	0	0	0	0	0	0	0	0	0	0	1840	1450	1183	1458	1295	0	0	0	0	0	0	0	0	0	935	297	1024	999	169	498
Mbd6	355.000000	0	0	0	0	0	0	0	0	0	0	0	1840	1450	1183	1458	1295	0	0	0	0	0	0	0	0	0	935	297	1024	999	169	0
Sgk1	354.466667	0	0	0	0	0	0	0	0	0	0	0	1062	941	1053	1683	1593	83	0	0	0	0	0	0	0	0	684	300	2110	1125	0	0
Marchf9	354.333333	0	0	0	0	0	0	0	0	0	0	0	1108	1390	1486	2365	2202	245	0	0	0	0	0	0	0	0	0	0	1212	622	0	0
Cdk4	354.333333	0	0	0	0	0	0	0	0	0	0	0	1108	1390	1486	2365	2202	245	0	0	0	0	0	0	0	0	0	0	1212	622	0	0
Psmb2	351.700000	0	287	309	360	0	182	0	323	331	309	261	1241	911	1137	1509	1247	0	0	0	0	0	0	0	0	0	412	197	783	612	140	0
Creb5	346.866667	0	0	0	0	0	0	0	0	0	0	0	1227	1284	1278	2098	1612	0	0	0	0	0	0	0	0	0	578	263	1129	567	370	0
Cyth4	342.833333	0	0	0	0	0	0	0	0	0	0	0	743	719	726	1820	1466	164	339	291	509	366	430	201	315	460	255	126	906	449	0	0
Ppp1r15b	341.033333	0	0	0	0	0	0	0	0	0	0	0	1409	1147	837	1279	1120	0	0	0	0	0	61	0	0	0	961	360	1604	1329	124	0
D16Ertd472e	340.600000	0	0	0	0	0	0	0	0	0	0	0	881	817	838	1644	1558	0	0	0	0	0	88	0	0	0	1031	411	1710	1240	0	0
Kat2b	336.733333	0	0	0	0	0	0	0	0	0	0	0	1202	1019	1044	1548	1517	0	0	0	0	0	0	0	0	0	849	435	1433	927	128	0
Olfr432	335.700000	0	0	0	0	0	0	0	0	0	0	0	807	1271	1860	2392	2092	0	0	0	0	0	0	0	0	0	171	0	975	503	0	0
Arhgap22	331.500000	0	0	0	0	0	0	0	0	0	0	0	1400	1250	1195	2000	1649	0	0	0	0	0	0	0	0	0	476	181	1056	738	0	0
H4c14	327.066667	130	0	0	0	0	0	0	0	0	0	0	1268	1136	610	996	805	89	0	0	0	0	0	0	0	0	1141	430	1703	1504	0	0
Tmem125	325.433333	117	0	0	0	212	0	0	93	0	0	0	868	968	870	1001	782	89	0	0	487	550	459	481	514	423	473	473	300	347	256	0
Zfp523	324.966667	0	0	0	0	0	0	0	0	0	0	0	1057	671	826	1708	1858	0	0	0	0	0	0	0	0	0	796	187	1659	987	0	0
Yars	323.733333	0	0	0	0	0	0	0	0	0	0	0	1418	1058	601	893	1028	0	0	0	0	0	0	0	0	0	1165	375	1916	1258	0	0
S100pbp	323.733333	0	0	0	0	0	0	0	0	0	0	0	1418	1058	601	893	1028	0	0	0	0	0	0	0	0	0	1165	375	1916	1258	0	0
Mars1	319.600000	0	0	0	0	0	0	0	0	0	0	0	1285	1275	943	1225	1185	0	0	0	0	0	0	0	0	0	800	431	1290	997	157	0
Eif1	319.566667	0	0	0	0	0	0	0	0	0	0	0	1545	1036	847	1043	1052	0	0	0	0	0	88	0	0	0	974	325	1477	1200	0	0
Gm4832	318.400000	0	0	0	0	0	0	0	0	0	0	0	1076	986	1094	1706	1609	140	0	0	0	0	0	0	0	0	706	291	1227	717	0	0
Carhsp1	313.333333	0	0	0	0	0	0	0	0	0	0	0	1214	956	881	1388	1194	0	0	0	0	0	0	0	0	0	994	281	1412	1080	0	0
Ank1	311.933333	0	0	0	0	0	0	0	0	0	0	0	1222	1236	1381	1774	1272	0	0	0	0	0	0	0	0	0	328	0	1314	653	178	0
Uvssa	310.666667	0	0	0	0	0	0	0	0	0	0	0	1085	1571	1264	1194	1180	0	0	0	0	0	0	0	0	0	563	143	1284	812	224	0
Crebzf	308.933333	0	0	0	0	0	0	0	0	0	0	0	658	591	784	995	630	0	221	184	821	658	767	538	799	727	228	0	392	275	0	0
Cnn1	308.833333	0	0	0	0	0	0	0	0	0	0	0	926	1026	1567	1878	1721	0	0	0	0	0	0	0	0	0	235	102	900	516	394	0
Rab7b	308.300000	0	0	0	0	0	0	0	0	0	0	0	1009	856	1138	1958	1776	0	0	0	0	0	0	0	0	0	389	153	1257	713	0	0
Kbtbd7	308.266667	0	0	0	0	0	0	0	0	0	0	0	1186	1146	1247	1804	1555	0	0	0	0	0	0	0	0	0	346	66	895	582	421	0
Npas4	305.866667	0	0	0	0	0	0	0	0	0	0	0	1259	1271	1567	2094	1467	0	0	0	0	0	0	0	0	0	0	0	911	472	135	0
Slc7a11	302.900000	0	0	0	0	0	0	0	0	0	0	0	1235	1023	906	1674	1798	56	0	0	0	0	0	0	0	0	0	0	1318	1077	0	0
Map3k5	302.600000	0	0	0	0	0	0	0	0	0	0	0	1289	793	851	1814	1719	0	0	0	0	0	0	0	0	0	602	145	1173	692	0	0
Spag9	299.433333	0	0	0	0	0	0	0	0	0	0	0	1163	663	1063	1769	1480	0	0	0	0	0	0	0	0	0	374	204	1314	620	333	0
